Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	61735	228706	18	-0.1164
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	228729	235670	7	0.8478
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	235728	12845863	6505	0.0027
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	12852748	12983506	39	-0.5236
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	13159083	35091638	12595	0.0057
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	35091674	35104491	21	-0.5959
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	35114268	58719560	14043	0.0044
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	58719909	58733021	12	0.5867
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	58733050	72750353	9804	0.0077
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	72756113	72763370	9	-1.1222
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	72768418	104178038	20140	0.0033
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	104221531	104225568	11	-1.1026
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	104239689	104303403	14	0.8697
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	104303501	106013376	917	-0.0139
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	106019205	106022375	17	0.9785
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	106024055	110227515	2667	6e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	110232974	110242953	18	-1.0828
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	110244998	112690326	1955	0.0069
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	112695965	112696997	17	-0.5503
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	112697012	114126339	896	0.0076
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	114126425	114129474	3	-1.0332
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	114135133	120111619	3839	0.0037
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	120112055	120150683	50	0.524
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	120150949	145605364	783	0.0241
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	145607991	145614044	2	-1.7591
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	145625706	169216937	14048	0.0062
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_B10_1320446	1	169233974	169241766	7	-2.8192
