Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	61735	235938	27	-0.2719
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	356443	356542	2	1.9885
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	404171	17012741	8758	-0.0139
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	17012785	17082412	26	-1.0172
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	17082591	65390503	29317	-0.0048
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	65396415	65396416	2	1.8455
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	65397561	72768936	4929	0.0234
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	72771143	72811148	44	0.6165
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	72811904	104155643	20089	0.0251
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	104155731	104159384	8	-0.9004
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	104163499	104268222	27	0.6013
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	104303403	106013376	920	0.0179
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	106019205	106022090	14	-0.6455
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	106022344	110226378	2667	0.031
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	110226487	110240178	24	0.5065
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	110242953	112690326	1958	0.0273
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	112695965	112706082	29	0.3974
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	112706118	149422459	6540	-0.0042
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	149422617	149578722	10	-1.0071
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	149617451	152555527	1492	0.003
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	152555706	152586576	34	-2.2186
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	152586594	152761955	175	-0.019
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	152762008	152768570	33	-0.3786
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	152768700	161508875	5277	0.0129
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	161517939	161638513	48	-0.438
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	161648237	196732086	24241	0.017
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	196738623	196815791	92	-0.3984
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	196816730	229811169	21899	0.0136
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	229816856	229820196	3	-3.5336
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G05_628384	1	229820456	248683400	13873	0.0101
