Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	61735	16147032	8352	-0.4347
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	16147063	16155010	20	0.1366
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	16165661	21622169	3395	-0.4334
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	21624787	21640395	12	-1.3278
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	21640501	31968315	5517	-0.4198
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	31972489	31983522	20	0.4269
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	31991138	32155717	93	0.0282
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	32159570	32207620	23	0.3703
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	32213435	32301481	41	-0.025
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	32304723	32977047	254	0.2672
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	32979211	33135548	63	-0.008
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	33140219	33160878	14	0.4214
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	33163286	33193638	17	0.0367
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	33194672	35648071	1537	0.3972
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	35650645	72768936	23595	0.0566
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	72771143	72811133	43	-0.8465
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	72811148	76050844	1930	0.0739
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	76054763	76054854	2	-1.7572
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	76059509	78427349	1638	0.0885
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	78430401	104158309	16522	0.4973
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	104159347	104256880	19	-0.3481
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	104256915	110224427	3604	0.4988
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	110225642	110240178	30	-0.7583
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	110242953	112690326	1957	0.4922
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	112695965	112697241	23	-1.2674
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	112697376	113767257	691	0.4657
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	113767751	113773981	2	-0.7125
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	113774114	114828901	635	0.5031
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	114831965	114833710	3	-0.6002
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	114833802	144914863	3968	0.4905
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	144916995	144935489	4	1.3317
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	144935534	145156363	100	0.42
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	145156380	145395604	69	0.2037
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	145398191	148575555	866	0.4804
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	148575561	149436842	206	0.0198
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	149521840	152560541	1507	0.4232
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	152560868	152585718	20	1.0104
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	152586117	152761923	178	0.4827
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	152761939	152768700	36	0.9901
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	152773905	169216937	11343	0.466
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	169233974	169241766	7	-0.5973
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	169242401	196714873	18209	0.4826
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A07_771954	1	196727850	196748476	22	-0.6579
