Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	61735	229158	21	0.3015
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	229173	22319001	12223	-0.2227
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	22320515	22330539	6	-2.3304
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	22337243	72750353	30799	-0.1238
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	72756113	72763370	9	-1.7755
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	72768418	72811148	48	0.6148
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	72811904	95134182	14475	-0.1528
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	95134217	95134297	2	-1.7926
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	95134329	102918493	5063	-0.1997
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	102920526	102921500	3	-1.8042
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	102921631	106013376	1502	-0.2092
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	106019205	106022375	17	0.4187
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	106024055	108304301	1626	-0.1711
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	108304852	108304878	2	-1.2637
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	108307326	108643426	251	0.0065
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	108646557	108657934	17	-1.4755
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	108661636	110227515	772	-0.004
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	110232974	110240178	17	0.8288
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	110242953	111377568	844	-0.0392
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_E03_1039426	1	111377570	111388226	36	-1.1587
