Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	61735	12892508	6553	0.0222
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	12909977	12915847	5	-0.9898
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	12924596	15486454	1421	0.0055
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	15489185	15489799	7	0.7046
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	15489862	16153497	426	0.0241
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	16153536	16153925	5	0.776
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	16154201	17016880	367	0.0161
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	17017078	17076467	20	0.5559
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	17082412	17210652	27	-0.003
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	17212714	17262247	57	0.3407
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	17276241	49916897	18691	0.0117
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	49917084	49997863	26	-0.7754
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	49999266	72768418	15429	0.0122
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	72768498	72811133	46	0.4516
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	72811148	76050844	1933	0.0145
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084	1	76054763	76054854	2	-2.3027
