Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	61735	2418625	484	0.0227
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	2418935	2430617	2	-1.592
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	2448306	10246654	4629	0.0119
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	10249962	10249977	3	-1.3154
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	10255256	12867090	1417	0.0232
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	12867340	13384473	46	-0.6001
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	13384632	72768418	36437	0.016
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	72768498	72811148	47	-1.1268
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	72811904	104159384	20080	0.0147
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	104163499	104239689	15	0.8057
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	104239986	106013376	932	0.021
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	106019205	106022375	17	0.6279
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	106024055	110233037	2670	0.0146
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	110233053	110242953	16	-0.8431
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	110244998	152555527	10017	0.014
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	152555706	152586594	35	0.8808
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	152590494	152750670	158	-0.0506
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	152750722	152768700	49	0.3564
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	152773905	196711187	29546	0.0186
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	196714822	196802002	94	-0.4502
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	196802072	208437821	7430	0.0196
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	208438984	208454371	26	0.5442
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	208455087	210071062	1364	0.0152
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	210081613	210083984	3	-1.8484
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	1	210086552	249224388	27123	0.0147
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	12784	18163569	13550	0.0068
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	18173675	18193188	47	-0.8863
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	18193198	52754561	23580	0.01
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	52754728	52781326	29	-0.7718
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	52781374	55318676	1976	0.023
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	55322895	55330328	39	-0.6228
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	55330331	56237489	523	-0.0119
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	56238357	56241297	2	-1.8036
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	56245554	86936838	19397	0.01
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	86937687	86953854	3	-1.3985
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	86970406	122574851	16667	0.0055
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	122576578	122578292	3	-1.9751
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	122578634	225786329	63342	0.0114
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	225786526	225787980	6	-1.0443
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	2	225789583	243089456	10830	0.0072
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	3	60345	53033148	35773	0.0159
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	3	53033540	53039489	28	-0.6317
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	3	53039677	64617070	8985	0.0148
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	3	64617369	64620795	4	-1.3407
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	3	64620883	128654125	37287	0.0132
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	3	128655046	128660986	6	-0.9963
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	3	128663159	129760622	472	0.0141
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	3	129761124	129806236	54	-1.0236
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	3	129806924	197896118	42272	0.012
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	12281	9370690	5181	0.0129
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	9372303	9486087	71	0.3894
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	9496294	10393154	753	0.0013
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	10398318	10402718	15	-0.6099
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	10402746	12365010	1597	0.0052
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	12369885	12384916	41	-0.893
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	12386473	34786500	15167	0.0131
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	34786955	34829872	38	0.4259
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	34829913	44998129	6637	0.0159
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	44998784	45006335	11	-0.6933
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	45010969	69375348	12848	0.0164
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	69390292	69505115	62	0.4591
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	69506334	108504634	23613	0.0115
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	108508648	108514498	6	-1.294
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	108516274	115173656	4113	0.0193
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	115173700	115184252	26	0.6005
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	115184266	138092195	13260	0.0123
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	138092239	138094958	16	-0.5887
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	138094972	155802548	10845	0.0139
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	155803005	155803078	3	-3.4975
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	155803199	172369346	10613	0.0149
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	172374884	172377288	7	1.1121
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	4	172377444	191027923	12526	0.0159
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	15532	8390368	6692	0.0154
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	8396461	8396885	3	-1.5365
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	8398386	17608256	6731	0.0131
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	17625374	17642551	10	-0.7805
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	17655138	21451277	2334	0.0257
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	21451964	21451998	2	-2.6165
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	21452438	24778106	1912	0.0161
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	24778376	24781828	15	-0.7796
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	24786926	117386617	54482	0.0145
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	117388422	117389085	11	-0.8251
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	117404340	127250672	6416	0.0088
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	127251374	127263443	14	0.6736
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	127265528	150202205	13989	0.011
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	150205500	150218604	8	-0.8521
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	150223387	177198449	18473	0.0101
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	177227551	177232605	3	1.8897
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	177254965	180374523	1809	0.0311
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	180378710	180433225	20	0.4936
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	5	180433264	180790320	170	0.0387
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	149661	31296292	22438	0.019
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	31296451	31309924	2	-2.3871
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	31317347	32469919	511	0.0519
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	32469967	32602107	48	-0.4052
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	32602269	32686196	51	0.041
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	32688615	32700833	14	0.5901
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	32700848	48930865	10362	0.0194
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	48931729	48935079	4	-1.0731
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	48935200	69138056	10354	0.0081
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	69138329	69149820	5	-1.5834
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	69150179	72862925	2399	0.0261
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	72866524	72866872	2	-1.8878
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B04_778150	6	72868563	77436159	2866	0.0208
