Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	61735	12852748	6530	0.0068
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	12857863	12858053	2	-2.3398
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	12859292	13468022	65	-0.2452
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	13471704	16149915	1822	0.0062
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	16153497	16154239	8	-0.8412
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	16154966	16844932	300	-0.0057
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	16846035	16970456	45	0.3643
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	17005734	18518298	1033	0.0131
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	18525024	18525249	2	-1.0511
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	18527000	20883422	1633	0.0072
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	20883503	20883816	3	-0.9466
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	20884941	25583341	2723	0.0028
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	25593128	25646946	27	-1.7181
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	25646986	30738534	2406	-6e-04
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	30739299	30741656	5	-0.9371
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	30741950	39458110	4989	0.0072
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	39458204	39458696	2	-1.1712
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	39458881	72750353	21446	-0.0023
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	72756113	72763370	9	-1.0186
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	72768418	72784170	18	-0.0192
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	72784222	72805497	19	0.4471
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	72805808	104113539	20082	-0.0023
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	104116349	104303501	50	-0.4735
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	104303639	106019370	922	1e-04
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	106019483	106022375	13	1.034
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	106024055	144842558	9914	0.0021
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	144849539	144868360	5	-1.0208
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	144869084	149024808	1133	0.079
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_D12_1151522	1	149036524	149386959	156	-0.6862
