Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	51598	615333	34	0.0064
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	696962	12762163	6436	-0.3179
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	12764515	13560783	80	-0.6844
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	13561267	17062591	2205	-0.2803
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	17063449	17155662	66	-1.0854
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	17157507	30514243	7659	-0.2899
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	30514537	30517797	2	-4.0908
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	30520163	37656878	4048	-0.2797
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	37657748	37672760	11	-1.0218
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	37674722	42629316	2810	-0.2813
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	42631290	42692913	60	0.0269
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	42701180	42918495	113	0.3496
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	42925163	43153569	131	-0.0462
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	43153652	43599777	288	-0.3569
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	43600151	47533556	2052	0.0128
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	47535794	48217499	510	0.5098
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	48217795	48630186	273	0.2564
