Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	61735	4379727	1361	0.0675
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	4379877	4472026	114	-0.5157
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	4476384	23220026	11384	0.0686
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	23225051	23296383	54	-0.5597
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	23297510	27236212	1983	0.0423
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	27241972	27775412	198	-0.5464
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	27776715	57547800	17125	0.0705
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	57549156	57651938	90	-0.6165
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	57651952	57658036	6	-1.4483
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	57658178	59005567	1167	-0.578
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	59007654	60366337	942	-1.9816
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	60367601	60400325	23	-0.5881
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	60402488	60645437	168	0.0706
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	60652452	60769298	81	1.7285
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	60773939	63052889	1650	0.083
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	63053160	63097034	23	1.3046
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	63105716	63183820	39	1.8668
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	63184175	63195692	7	1.1505
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	63196278	72768916	6643	-0.5523
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	72768936	72797412	27	-2.0444
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	72798594	72809842	14	-0.5549
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	72810938	72811133	3	-2.1337
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	72811148	83885215	7128	-0.5985
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	83886390	83888575	2	-2.743
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	83889370	90555907	4491	-0.5887
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	90556150	90556980	2	-3.7029
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	90559217	112690326	14055	-0.5809
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	112695965	112705956	26	0.0873
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	112706060	121338948	5177	-0.554
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	121340237	144849552	65	-0.0464
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	144868360	146043724	383	-0.4798
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	146101240	146156692	3	0.8132
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	146476526	146695215	150	1.8092
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	146696061	146779407	71	2.1579
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	146780268	146790963	3	1.2105
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	146791101	146950945	107	0.8546
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	146953752	147288276	243	0.5288
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	147293261	149248712	297	-0.3819
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	149248727	149248841	2	1.7586
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	149249447	149701351	57	-0.0613
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	149702535	149739073	9	0.3088
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	149748542	151301859	674	0.8142
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	151302074	151538412	177	0.4486
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	151541285	151656823	60	1.7666
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	151657521	152178018	304	0.9869
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	152178286	152542246	236	1.3902
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	152547901	152555176	16	0.1486
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	152555527	152586540	34	1.6142
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	152586576	152754630	165	0.0393
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	152756308	152762762	21	0.5016
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	152762890	152763069	6	-0.0714
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	152767467	152768700	17	0.6641
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	152773905	153672247	625	0.047
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	153673674	153693248	8	0.9627
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	153695340	153703341	5	0.0678
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	153706699	154409391	297	1.3684
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	154412601	154811420	258	-0.0021
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	154814353	155078521	110	0.7472
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	155079677	155522572	201	0.042
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	155526076	155656969	54	0.4253
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	155661227	157729174	1160	0.0335
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	157729849	158866573	904	0.4465
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	158868501	158869759	2	4.5144
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	158874818	159064818	137	0.432
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	159074575	159785425	485	0.0642
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	159785963	160658962	578	1.1677
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	160660274	160668689	10	1.7655
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	160673366	160790548	87	1.2799
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	160793442	160807251	13	2.1436
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	160809003	161468016	328	1.1257
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	161468528	161618251	37	1.5131
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F04_628376	1	161618549	161618820	3	0.6148
