Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	61735	86341	15	-0.3669
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	98588	750334	29	0.4281
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	752566	17012741	8739	-0.0435
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	17012785	17048479	23	0.3472
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	17056457	17182437	23	-0.3027
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	17190004	17262232	62	0.3972
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	17262247	72768498	34136	-0.0569
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	72768916	72811148	46	-1.0351
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	72811904	90552424	11626	-0.102
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	90555907	90559217	4	-1.2763
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	90559683	104103230	8416	-0.1093
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	104109238	104163787	29	0.4398
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	104178038	110232974	3628	-0.0903
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	110233037	110233262	4	-1.6095
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	110233327	112696087	1968	-0.0712
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	112696193	112697241	21	-0.76
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	112697376	112991815	248	-0.0832
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	112991862	112991881	2	-3.3603
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	112994865	120527395	4807	-0.0649
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	120540804	121130963	48	0.2581
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	121155528	121338948	74	-0.0862
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	121340237	144842558	62	0.577
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	144849539	144868360	5	1.764
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	144869084	145151728	146	0.5087
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	145151959	145156398	10	-0.1314
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	145156462	145233670	37	0.6269
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	145235251	146498620	202	0.9211
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_F11_808718	1	146498838	152551464	2390	0.5824
