Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	61735	625470	34	0.0453
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	707099	785989	22	1.0771
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	789397	7552461	3618	0.0339
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	7552590	7554982	2	-1.4502
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	7557152	12837840	2844	0.0199
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	12838744	12845863	4	0.8834
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	12852748	12915847	35	-0.3287
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	12924596	13214448	11	0.0253
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	13375345	13471945	24	0.3695
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	13506877	15208485	1170	0.0077
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	15208882	15209936	2	-1.2807
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	15212903	17012741	1015	0.0143
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	17012785	17195155	49	0.3774
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	17203497	18473178	931	0.0434
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	18473529	18480497	12	-0.4662
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	18481944	25583341	4387	0.0179
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	25593128	25662212	31	-1.2623
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	25663310	30738504	2401	0.0248
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	30738534	30739796	4	-2.2164
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	30741496	72756113	26444	0.018
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	72756142	72763370	8	-1.1834
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	72768418	72811133	47	0.4524
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	72811148	89475255	10989	0.0162
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	89477958	89478205	2	-2.7935
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	89481524	104157336	9104	0.0144
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	104158309	104268222	30	-1.0335
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	104303403	106019370	924	0.0149
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	106019483	106022375	13	0.5666
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	106024055	110227515	2670	0.0101
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	110232974	110240178	17	-0.9379
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	110242953	111829220	1224	0.0211
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	111829495	111829633	2	-1.303
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	111829797	146754959	6589	0.0293
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	146759320	146759379	2	-1.5722
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	146760180	152555767	2208	0.0459
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	152555795	152586238	29	1.2231
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	152586278	161523982	5493	0.0052
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	161595202	161601933	2	-1.3587
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	161604497	169216937	6058	0.0152
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	169233974	169242401	8	0.7246
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	169254877	189513265	13353	0.0129
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F09_771858	1	189513551	189515417	2	-1.6429
