Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	61735	228706	18	0.4718
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	228729	16896821	8706	-0.0032
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	16903726	17005734	37	0.3824
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	17005776	17012741	14	-0.293
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	17012785	17037097	17	0.1954
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	17045458	17182437	29	0.536
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	17190004	17283075	67	-0.3754
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	17284920	72763370	34130	0.0044
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	72768418	72811148	48	-1.0668
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	72811904	104225568	20089	0.0101
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	104239689	104303403	14	0.7575
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	104303501	110224384	3592	-9e-04
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	110224427	110242953	32	0.4021
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	110244998	149036524	8359	0.0148
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	149040066	149229843	109	-0.6362
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	149242663	152762667	1768	0.0167
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	152762762	152768359	22	0.4729
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	152768570	165036995	8017	0.0037
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	165045465	165045554	3	-1.1264
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	165046515	169233974	3319	0.0042
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	169234529	169241766	5	-2.007
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	169242401	189648157	13449	0.0088
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	189648483	189648527	2	-1.4541
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	189652047	196714873	4739	0.0167
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	196727850	196816730	97	0.3662
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	1	196823317	249224388	35916	0.0084
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	12784	4197025	2979	4e-04
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	4197289	4224019	50	0.2481
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	4230062	14703694	8002	0.0068
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	14704949	14710092	12	-1.0334
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	14710364	24606954	6880	0.006
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	24606982	24611128	14	-0.8266
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	24611727	34691069	6143	0.0078
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	34699315	34726696	39	-0.2491
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	34727017	35975973	883	-0.0038
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	35977790	35987916	6	-1.4097
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	35987947	36903766	823	0.0026
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	36904328	36904442	2	-2.5586
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	36905013	37978120	740	0.001
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	37978208	37998864	24	-0.3606
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	37998930	49533042	8283	0.0084
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	49535768	49541190	5	-0.7774
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	49545041	50605863	756	-0.0085
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	50609971	50610041	2	-1.6212
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	50611044	97873036	25601	0.0074
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	97873321	97877173	7	-0.6487
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	97886334	98118212	24	0.0872
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	98140747	98162189	9	0.867
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	98166878	123479951	15134	0.0094
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	123481713	123482241	7	-0.8042
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	123483653	129638078	3883	-0.0025
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	129638478	129640329	16	-0.6481
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578	2	129646448	146864443	10479	0.009
