Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	61735	25601859	14171	0.0189
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	25601972	25662212	24	0.528
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	25663310	36867234	5779	0.0179
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	36872665	36873318	4	-0.8959
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	36874242	65427606	18199	0.0052
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	65429215	65429797	6	-1.4938
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	65429974	72768916	4872	0.0095
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	72768936	72811148	45	-1.0624
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	72811904	83829357	7110	0.0039
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	83829675	83829980	3	-1.1296
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	83833922	89475255	3874	0.0163
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	89477958	89478205	2	-2.311
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	89481524	106019205	10059	0.0053
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	106019236	106022375	16	-1.6634
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	106024055	109651310	2383	0.0118
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	109652143	109659685	2	-0.9626
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	109659903	110226487	280	0.0143
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	110226743	110242953	24	-0.8047
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	110244998	113501569	2506	0.0281
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	113504618	113504658	2	-1.2788
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	113505624	119082965	3531	0.0108
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	119083309	119110737	27	0.463
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	119117167	169216937	15551	0.0105
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	169233974	169238745	6	0.8335
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	169241766	189648157	13466	0.0045
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	189648483	189648527	2	-1.677
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	189652047	194448234	3291	0.012
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	194451411	194455018	2	2.2604
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	194457016	210071062	10374	0.0083
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	210081613	210083984	3	-1.8734
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	210086552	240391740	21204	0.0077
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	240394015	240396105	7	0.691
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	1	240398028	249224388	5932	0.0061
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	12784	34520473	24021	0.0039
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	34523978	34525580	2	-1.9225
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	34525967	34691069	95	-0.0358
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	34699315	34737163	47	0.2472
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	34737556	36335606	1163	0.0016
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	36336619	36339554	13	-0.8367
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	36351103	52754480	11874	0.0017
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	52754500	52781542	38	-0.4313
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	52787949	75364299	14449	0.0057
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	75366190	75366441	4	-0.9015
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	75366489	79329146	2772	-0.0104
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	79330778	79342811	8	1.1037
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	79343818	87128201	4787	0.0025
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	87129203	87137385	2	-1.6171
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G06_755774	2	87161853	97857927	2037	-0.0161
