Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	61735	752566	45	0.1896
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	757469	12892508	6504	-0.288
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	12909977	12983506	9	-0.9433
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	13159083	13214448	7	-0.0539
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	13375345	13377047	8	-1.0187
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	13384168	16886193	2147	-0.2756
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	16888067	17291894	171	-0.0011
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	17295212	38424031	12018	-0.2658
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	38426920	49914123	6662	0.0469
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	49914932	50002247	31	-0.7951
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	50008811	62114006	8049	0.0031
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	62114181	62119809	4	-1.0173
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	62119978	72763370	7380	-0.046
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	72768418	72812440	50	0.2716
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	72816755	76050844	1929	-0.056
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	76054763	76054854	2	-2.5623
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	76059509	89475255	9051	-0.0397
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042	1	89477958	89478205	2	-3.1137
