Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	61735	1510801	226	-6e-04
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	1627918	1672603	17	-0.866
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	1687587	17011669	8533	0.0122
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	17011778	17260618	109	0.3782
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	17261211	62114006	26780	0.0145
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	62114181	62118187	3	-3.6016
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	62119809	71243479	6462	0.0186
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	71244830	71246668	5	-0.8982
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	71250754	72746581	903	0.0195
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	72749848	72811148	59	0.3392
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	72811904	81768662	5690	0.0179
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	81768829	81769919	2	-1.1742
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	81769938	89475255	5288	0.0158
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	89477958	89481524	3	0.9129
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	89483616	91289519	1171	0.0101
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	91291013	91295149	4	-1.0547
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	91295991	104257579	7943	0.0227
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	104259444	104303403	6	0.8351
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	104303501	106019205	920	0.023
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	106019236	106022375	16	-1.7614
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	106024055	110232974	2671	0.0183
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	110233037	110234410	8	-0.9034
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	110234555	110240178	8	-0.2935
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	110242953	111377368	841	0.0245
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	111377565	111388226	38	-0.7269
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	111392067	112690326	1076	0.0187
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	112695965	112697390	25	-2.0048
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	112705956	149242725	6492	0.0239
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	149243072	149254920	20	0.5628
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	149256691	152551325	1520	0.0182
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	152551464	152586594	44	0.3226
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	152590494	152759678	170	0.0341
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	152761923	152773905	38	-0.3543
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	152776755	169216937	11332	0.0176
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	169233974	169241766	7	-0.7635
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	169242401	174796405	3521	0.0144
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	174796556	174801840	16	-1.0041
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	174801854	179323738	3079	0.0102
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	179330528	179333315	4	-1.0965
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	179339206	196732086	11578	0.0194
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	196738623	196749217	23	-0.7797
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	196749821	196802072	66	-0.2701
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	196812507	196815791	3	-1.1054
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	196816730	199111521	1382	0.0171
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	199111690	199112524	4	0.7415
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	199113011	201455539	1644	0.0266
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	201455779	201455883	3	-1.5399
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	201456199	210071062	5787	0.0164
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	210081613	210082065	2	-1.3198
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	210083984	240391740	21183	0.0171
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	240394015	240394139	6	-2.1247
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	240396105	248709616	5745	0.0083
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	248709670	248818483	45	0.3349
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	1	248825137	249224388	138	-0.0068
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	12784	34520473	24014	0.0159
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	34523978	34525580	2	-1.9027
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	34525967	34691069	95	0.042
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	34699315	34737057	45	0.7021
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	34737163	36335606	1165	0.0056
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	36336619	36339554	13	-0.99
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	36351103	97857927	35939	0.0168
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	97865337	97877173	15	-0.6134
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	97886334	98025647	21	-0.0856
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	98063372	98162189	12	0.7195
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	98166878	106146307	4931	0.0203
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	106146375	106152104	2	-1.354
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	106152252	140709142	20799	0.0135
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_G01_844798	2	140711999	140715143	10	-1.4077
