Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	61735	14068015	6812	-0.005
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	14070109	17235852	2025	-0.4529
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	17235868	17261797	40	-0.9733
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	17261888	30477109	7454	-0.4582
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	30477541	35091458	2791	0.0095
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	35091594	35104491	23	-0.4414
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	35114268	40710613	3032	0.0057
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	40711041	66936296	17013	0.3457
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	66936541	72381596	3579	0.0244
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	72384017	83829022	7385	-0.4248
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	83829357	83829980	4	-1.8039
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	83833922	99060221	9796	-0.4371
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	99062646	174796405	31963	0.0163
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	174796556	174797333	7	-2.595
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	174797385	174801840	9	-0.8006
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	174801854	179330528	3083	0.0179
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	179331382	179333315	3	-1.1786
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	179339206	191047341	7817	0.0165
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	191058384	191059432	2	1.4995
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	191066548	192072110	590	0.0143
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	192074522	196714822	3172	0.3283
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	196714873	196801337	85	0.6593
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	196801428	199107702	1391	0.3275
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	199111363	199112471	6	-0.5741
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	199112524	209108493	6633	0.3314
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	209111346	243326952	24192	0.014
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	243327938	243350477	8	1.2721
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	1	243352380	249224388	3726	0.0231
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	12784	7639373	5924	0.0157
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	7643065	7646972	2	2.1556
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	7647007	13228673	4092	0.0164
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	13229096	13241732	4	-1.4427
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	13242198	14355708	707	0.0327
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	14355721	14372695	55	0.6506
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	14379327	14702349	253	0.0086
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	14703507	14703523	2	1.475
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	14703632	21482249	4951	0.0324
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	21482292	33183867	6916	-0.4329
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	33184295	33198480	9	0.4587
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	33198651	34691069	1172	-0.4516
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	34699315	35975973	921	0.0191
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	35977790	35986716	4	-1.4433
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	35986908	39405570	2552	0.021
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	39409854	39467757	35	-0.4694
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	39468676	41238235	1358	0.0427
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	41238443	41245887	23	-1.5731
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	41251233	52754468	8189	0.0215
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	52754480	52781295	31	-0.7362
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	52781326	54347902	1186	0.0415
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	54347924	54351157	2	1.9548
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	54352000	66761967	7905	0.0248
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	66769154	66793148	24	-0.5672
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	66796505	129638078	34028	0.0179
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	129638478	129640315	15	-0.6189
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	129640329	130947303	911	0.0293
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	130947887	130963293	5	-1.0714
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	130967626	133285702	880	0.0303
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	133294830	133295134	5	0.9945
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	133297097	146864429	8682	0.0179
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	146864443	146866934	22	0.7137
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	146877806	185316676	23715	0.0217
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	185316880	185320059	4	1.7817
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	185325519	242783396	35292	0.017
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	242915466	243034686	112	-0.6429
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	2	243037253	243089456	29	0.0363
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	60345	224602	157	0.0426
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	230022	232800	4	-2.4593
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	234877	21732114	16124	0.0242
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	21732945	21734116	2	-1.6998
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	21734234	26612110	3774	0.0248
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	26612164	26612166	3	1.2701
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	26613201	45218089	12081	0.0235
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	45218619	46793377	1092	-0.4579
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	46801817	46847616	38	-1.4925
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	46849179	53023211	2493	-0.4414
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	53028375	53034180	19	0.0808
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	53034226	54077334	691	-0.4327
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	54077811	54078369	2	-2.5387
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	54082219	89407038	24023	-0.446
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	89407051	89417287	32	-1.4528
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	89419364	90485962	386	-0.4501
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	90502862	129761124	21634	0.0223
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	129762859	129806236	53	0.4114
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	129806924	133024867	2127	0.0438
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	133024882	133024897	2	1.5462
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	133025012	143971985	6674	0.0353
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	143975477	143976381	2	-1.8626
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	143977611	161515597	10801	-8e-04
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	161515627	161515649	2	2.4073
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	161515944	187595294	16109	-0.0137
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	187595378	187595713	2	2.4572
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	187595740	192877902	3834	-0.0384
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	192877962	192882869	17	-1.0206
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	192882888	195753766	1638	-0.0281
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	195761238	197834346	1031	-0.4493
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	3	197834410	197896118	35	-0.0298
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	12281	1792018	688	-0.0097
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	1793283	1797852	2	-2.3432
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	1797952	2322188	200	-0.0158
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	2322395	5310756	1715	-0.4775
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	5315434	5324579	8	-2.1766
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	5324660	8527746	2435	-0.4576
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	8527968	8528853	3	-2.7903
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	8534283	10210390	734	-0.4672
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	10214160	10231249	28	-1.5248
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	10231498	10234266	3	0.9654
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	10234608	27143355	12202	-0.4487
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	27144761	27151609	5	0.8476
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	27153087	30006792	1938	-0.4478
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	30011952	30012925	2	-1.9228
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	30013592	34765771	2831	-0.4508
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	34770306	34829949	51	0.0673
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	34830004	45386990	6872	-0.4513
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	45389984	49089374	2085	0.0291
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	49093786	49267848	17	-0.4601
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096	4	49291192	59564464	4620	0.0201
