Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	61735	229677	24	-0.3266
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	235670	17017078	8738	-0.7836
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	17017530	17261211	96	-1.2208
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	17261248	18259243	665	-0.7968
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	18263510	22319001	2687	0.1178
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	22320515	22338125	7	-1.0476
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	22342389	25595881	1915	0.0997
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	25595947	25628631	18	0.7908
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	25636451	35091674	4980	0.0943
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	35102654	35104491	20	-0.6767
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	35114268	73768780	24489	0.0574
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	73769173	73769215	3	-0.9756
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	73775929	99472525	16607	0.0186
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	99477516	99482720	5	-0.933
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	99486885	102862514	2317	0.0105
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	102862786	102862791	2	-1.66
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	102862847	106012754	1544	-0.0033
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	106013376	106022375	18	0.4601
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	106024055	110224427	2659	0.0141
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	110225642	110232974	14	0.6572
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	110233037	110234410	8	1.5266
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	110234555	110244998	10	0.9471
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	110246126	144008335	7175	0.0459
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	144008375	149361277	1342	0.4858
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	149363538	149701234	34	0.1375
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	149701351	152555527	1478	0.5323
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	152555706	152586594	35	-2.1365
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	152590494	152759678	171	0.5252
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	152761923	152768700	37	-1.8241
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	152773905	158866573	3624	0.531
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	158868501	158869759	2	-0.8915
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	158874818	169216937	7723	0.5347
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	169233974	169241766	7	-2.1829
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	169242401	192449933	15278	0.5225
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	192455537	192465941	9	-0.6817
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	192478874	194021997	1207	0.4806
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	194025452	194026648	6	-0.1342
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	194026943	196714873	1716	0.4981
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	196727850	196801805	89	-0.4188
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	196801850	216722850	13372	0.5406
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	216725118	216725132	2	-0.8333
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	216728761	236979234	13873	0.5382
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	236979411	236979471	2	-0.7059
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	236983668	240391740	2792	0.5158
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	240394015	240394139	6	-0.3598
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	240396105	248737447	5758	0.5378
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	248749194	248797213	33	-0.7034
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	1	248805339	249224388	145	0.6107
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	12784	1318967	870	-0.0743
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	1319754	1321873	3	-1.3211
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	1327636	3721821	1693	-0.0054
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	3722486	3733273	9	-0.7198
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	3736538	34691069	21548	-0.0201
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	34699315	34737057	46	-2.4551
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	34737163	36332258	1157	-0.0991
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	36335595	36335606	8	-0.943
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	36336619	36423276	80	-0.1245
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	36429074	36448745	22	-0.8733
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	36449593	42325056	4528	-0.0999
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	42329329	42329711	2	-1.5117
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	42335185	42496527	108	-0.0999
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	42500631	42505302	5	-0.9957
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	42506214	50765875	5755	-0.0874
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	50766007	50766783	2	-1.7094
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	50766988	50976171	172	-0.0579
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	50976459	50976852	5	-0.8387
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	50977979	52759032	1223	-0.1068
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	52759115	52781397	21	0.457
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	52781412	89583907	22886	-0.0635
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	89593755	90090535	55	-0.7043
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	90092027	90121364	26	-1.1561
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	90121415	90130240	17	-0.3318
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	90130290	90274766	72	-0.9274
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	90301264	91787788	34	-0.2232
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	91788512	98118212	1005	0.0245
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	98140747	98161710	8	-1.0054
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	98162189	129638078	19053	0.0369
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	129638478	129640297	14	-0.6477
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	129640315	137982148	5011	0.0382
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	137983647	137984261	5	-1.0341
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	137985285	140361385	1457	0.0095
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	140366091	140373334	2	-1.4465
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	140378548	146864429	4018	-0.0202
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	146864443	146866934	22	0.7588
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	146877806	180413362	20533	0.0031
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	180413371	180422121	30	-0.8226
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	180422137	237803366	35542	0.0057
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	237803533	237803934	4	-1.1027
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	237803982	240318755	1600	0.0429
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	240319090	240319874	2	-1.3631
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	2	240326915	243089456	1480	0.05
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	3	60345	990217	757	0.1559
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	3	990754	996718	9	-0.7312
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	3	997981	6646543	5084	0.1616
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	3	6651128	6653332	23	-0.477
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	3	6655078	68746164	42014	0.123
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	3	68746259	68747413	14	-1.5373
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	3	68748758	98944547	15968	-0.011
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112	3	98944598	98949421	34	-0.5841
