Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	61735	86341	15	-0.7312
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	98588	356542	14	0.6047
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	404171	25583341	14107	0.014
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	25593128	25673154	34	0.5305
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	25678084	72768498	28791	0.0038
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	72768916	72811148	46	-1.0627
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	72811904	106019310	20958	-5e-04
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	106019370	106024070	16	0.7556
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	106024090	110224384	2643	-0.0051
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	110224427	110260742	53	0.5149
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	110264612	112696308	1934	-0.0164
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	112696473	112706205	31	-0.4459
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	112706213	148907270	6336	0.0066
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	148910991	149273545	147	-0.3784
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	149274654	152555706	1518	-0.0179
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	152555767	152586594	34	0.4406
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	152590494	189513265	24812	-0.0022
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	189513551	189515417	2	-2.4237
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	189515685	248749560	40578	0.0032
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	248753216	248809109	34	-0.5844
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F09_802336	1	248809369	249224388	141	0.0987
