Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	61735	10371134	5202	-0.0161
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	10371225	10377243	5	-1.4233
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	10377421	16428142	3314	-0.006
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	16430385	16431034	2	-2.6613
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	16434727	17005978	241	-0.0399
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	17011450	17016177	14	0.49
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	17016259	17082412	24	0.0632
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	17082591	17261797	80	-0.5408
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	17261888	25571269	5261	-0.0078
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	25574471	25662212	38	0.536
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	25663310	72750353	28806	-0.0014
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	72756113	72763370	9	-0.8829
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	72768418	72811133	46	0.6315
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	72811148	106019205	21003	0.0037
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	106019236	106022375	16	-2.3884
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	106024055	106035052	14	-0.6601
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	106035061	110232974	2652	0.0119
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	110233053	110240178	15	1.3501
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	110242953	112690326	1952	0.0031
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	112695965	112705956	26	0.624
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	112706060	144076688	5215	-0.0092
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	144081043	144472001	3	1.7802
DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A02_1322376	1	144527147	152759678	3012	0.0167
