Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	61735	723317	38	0.1368
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	728608	31912175	17131	-0.5077
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	31912800	35102654	1786	0.3004
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	35102670	35104491	19	-0.9418
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	35114268	40007013	2631	0.2913
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	40007783	40013483	2	-1.3914
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	40015841	104132359	40845	0.2064
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	104155643	104268222	36	0.9004
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	104303403	106013376	907	0.1752
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	106019205	106022375	17	-1.6971
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	106024055	110227515	2647	0.1758
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	110232974	110250590	28	-0.4371
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	110251142	114831965	3249	0.2295
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	114833626	114833710	2	-1.1682
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	114833802	119157703	2750	0.233
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	119161784	120540804	941	-0.111
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	120545176	121129349	46	0.2236
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	121130963	121355881	77	-0.1646
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	121436219	121447136	2	0.9899
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	121482979	144527656	46	0.3769
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	144527695	144564584	8	0.7402
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	144579091	144868360	8	1.5445
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	144869084	149521846	1286	0.6754
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	149545372	149645033	10	-0.3535
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	149659890	152555527	1469	0.6736
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	152555706	152586576	34	-1.4237
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	152586594	169233974	11389	0.7045
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	169234529	169238731	4	-0.4637
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	169238745	196714873	18018	0.6717
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	196727850	196758159	39	-1.4195
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	196759274	196791043	31	-0.2165
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	196798565	196802002	22	-1.0527
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	196802072	199107702	1360	0.6343
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	199111363	199113840	9	-1.5585
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	199114238	203934734	3159	0.7101
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	203936783	203945398	9	-0.1819
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	203945501	239910972	24706	0.7065
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	239917246	239922134	2	-1.3383
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	239924870	248737447	6130	0.6819
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	248749194	248797213	33	-0.0535
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	1	248805339	249224388	144	0.6329
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	12784	362574	228	-0.1353
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	367565	367736	2	-1.5709
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	368398	2711739	1592	-0.1058
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	2712106	2712765	3	-1.5211
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	2712943	34691069	22022	-0.0942
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	34699315	34737057	46	0.3914
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	34737163	41237386	4753	-0.1406
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	41237564	41245887	33	-0.6229
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	41251233	52754480	8090	-0.1142
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	52754500	52781504	36	0.4415
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	52781522	89999062	22630	-0.1294
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	90001943	90274766	150	-0.5786
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	90301264	91778769	29	-0.0553
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	91786999	91810190	25	0.4182
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	91812834	103570628	4282	-0.0988
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	103572839	105637431	1214	-0.6004
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	105637476	133281022	16104	-0.1049
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	133281332	133302367	43	0.4518
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	133313845	180061655	28681	-0.1463
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	180067192	180079144	3	-2.1822
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	180083591	226733467	28336	-0.1412
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	226733790	226735590	3	-1.8143
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	226737851	226954448	144	-0.184
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	226956763	226961418	9	-1.5155
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	2	226963698	243089456	9939	-0.0795
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	60345	17722224	13680	-0.1291
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	17723343	17724339	2	-3.2935
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	17725213	46793377	19134	-0.1498
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	46801817	46849589	40	-2.0684
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	46859479	60701792	8152	-0.1138
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	60702182	60702197	2	-2.729
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	60702234	62027634	1120	-0.1417
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	62027670	62029281	2	-2.3079
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	62029858	68746164	5121	-0.1281
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	68746259	68747413	14	-0.8153
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	68748758	75549718	4878	-0.1372
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	75549946	75596246	13	0.4592
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	75608639	90485962	8076	-0.1961
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	90502862	116523296	13499	0.4414
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	116523448	116527229	5	-0.6205
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_C07_1344812	3	116527238	129762859	7912	0.4913
