Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DLP_REDO_FROM_COPAL_E08	1	61735	98602	17	1.1265
DLP_REDO_FROM_COPAL_E08	1	228706	5360810	2269	0.0641
DLP_REDO_FROM_COPAL_E08	1	5362292	5362345	2	-1.5167
DLP_REDO_FROM_COPAL_E08	1	5364634	10934874	3224	0.064
DLP_REDO_FROM_COPAL_E08	1	10935423	11068053	67	-0.288
DLP_REDO_FROM_COPAL_E08	1	11070608	12421019	705	0.0665
DLP_REDO_FROM_COPAL_E08	1	12426070	12564127	71	-0.2983
DLP_REDO_FROM_COPAL_E08	1	12564530	17005978	2410	0.0632
DLP_REDO_FROM_COPAL_E08	1	17011450	17012226	8	0.8812
DLP_REDO_FROM_COPAL_E08	1	17012314	17076467	29	0.1736
DLP_REDO_FROM_COPAL_E08	1	17082412	17112177	15	-0.6497
DLP_REDO_FROM_COPAL_E08	1	17114427	17190004	7	0.0317
DLP_REDO_FROM_COPAL_E08	1	17190862	17262247	62	0.5033
DLP_REDO_FROM_COPAL_E08	1	17276241	19927553	1893	0.0759
DLP_REDO_FROM_COPAL_E08	1	19927720	19928741	3	-1.3357
DLP_REDO_FROM_COPAL_E08	1	19929365	21705311	1098	0.0595
DLP_REDO_FROM_COPAL_E08	1	21705378	21778508	34	0.3975
DLP_REDO_FROM_COPAL_E08	1	21779898	29442980	3838	0.0423
DLP_REDO_FROM_COPAL_E08	1	29453859	29461133	4	0.8697
DLP_REDO_FROM_COPAL_E08	1	29461718	61652211	19503	0.0772
DLP_REDO_FROM_COPAL_E08	1	61659001	61795444	95	-0.2548
DLP_REDO_FROM_COPAL_E08	1	61798299	63841830	1472	0.1067
DLP_REDO_FROM_COPAL_E08	1	63844453	64701403	591	-0.223
DLP_REDO_FROM_COPAL_E08	1	64701477	72768916	5572	0.1009
DLP_REDO_FROM_COPAL_E08	1	72768936	72811148	45	1.6192
DLP_REDO_FROM_COPAL_E08	1	72811904	82074404	5985	0.1014
DLP_REDO_FROM_COPAL_E08	1	82078309	82392272	185	-0.6816
DLP_REDO_FROM_COPAL_E08	1	82398355	100442205	11692	0.1009
DLP_REDO_FROM_COPAL_E08	1	100443739	100563000	48	-0.6533
DLP_REDO_FROM_COPAL_E08	1	100563062	104159384	2159	0.0898
DLP_REDO_FROM_COPAL_E08	1	104163499	104268222	27	1.0219
DLP_REDO_FROM_COPAL_E08	1	104303403	106019205	919	0.0669
DLP_REDO_FROM_COPAL_E08	1	106019236	106022375	16	-2.0627
DLP_REDO_FROM_COPAL_E08	1	106024055	110224384	2653	0.0883
DLP_REDO_FROM_COPAL_E08	1	110224427	110242953	32	0.8056
DLP_REDO_FROM_COPAL_E08	1	110244998	112937787	2184	0.0804
DLP_REDO_FROM_COPAL_E08	1	112938140	112938497	2	-1.716
DLP_REDO_FROM_COPAL_E08	1	112942200	112974197	26	0.0801
DLP_REDO_FROM_COPAL_E08	1	112981412	112996758	12	-0.7096
DLP_REDO_FROM_COPAL_E08	1	112996781	144059008	4966	0.1037
DLP_REDO_FROM_COPAL_E08	1	144066976	144842558	20	0.8805
DLP_REDO_FROM_COPAL_E08	1	144849539	144849552	3	2.5809
DLP_REDO_FROM_COPAL_E08	1	144865627	152555527	2794	0.6846
DLP_REDO_FROM_COPAL_E08	1	152555706	152590494	36	1.6315
DLP_REDO_FROM_COPAL_E08	1	152590565	152759678	170	0.6508
DLP_REDO_FROM_COPAL_E08	1	152761923	152768700	37	-0.135
DLP_REDO_FROM_COPAL_E08	1	152773905	154238383	853	0.701
DLP_REDO_FROM_COPAL_E08	1	154239283	154247254	2	-0.6105
DLP_REDO_FROM_COPAL_E08	1	154255270	161604497	4424	0.5544
DLP_REDO_FROM_COPAL_E08	1	161612197	161618859	19	-0.2731
DLP_REDO_FROM_COPAL_E08	1	161618926	161619058	5	-1.4319
DLP_REDO_FROM_COPAL_E08	1	161621885	161636875	7	-0.1489
DLP_REDO_FROM_COPAL_E08	1	161636891	163776298	1730	0.5246
DLP_REDO_FROM_COPAL_E08	1	163776883	164348687	400	0.0228
DLP_REDO_FROM_COPAL_E08	1	164350468	164350519	2	0.9096
DLP_REDO_FROM_COPAL_E08	1	164350864	168357759	3130	1.2292
DLP_REDO_FROM_COPAL_E08	1	168361594	168686612	280	0.5618
DLP_REDO_FROM_COPAL_E08	1	168687512	169085119	359	1.1208
DLP_REDO_FROM_COPAL_E08	1	169087494	198303180	19191	-0.2806
DLP_REDO_FROM_COPAL_E08	1	198304274	198306860	3	-1.7478
DLP_REDO_FROM_COPAL_E08	1	198306932	198872421	392	-0.4611
DLP_REDO_FROM_COPAL_E08	1	198872861	199318108	320	-0.1471
DLP_REDO_FROM_COPAL_E08	1	199320633	201498488	1542	-0.4853
DLP_REDO_FROM_COPAL_E08	1	201500385	210071062	5730	-0.101
DLP_REDO_FROM_COPAL_E08	1	210081613	210086552	4	-1.4593
DLP_REDO_FROM_COPAL_E08	1	210093494	212140565	1369	-0.0842
DLP_REDO_FROM_COPAL_E08	1	212141669	212450985	194	-0.4876
DLP_REDO_FROM_COPAL_E08	1	212452049	218418252	4286	-0.0726
DLP_REDO_FROM_COPAL_E08	1	218418334	218420859	3	-1.7429
DLP_REDO_FROM_COPAL_E08	1	218422950	219680358	867	-0.0624
DLP_REDO_FROM_COPAL_E08	1	219685466	219686314	2	-2.1411
DLP_REDO_FROM_COPAL_E08	1	219687432	222788062	2093	-0.0909
DLP_REDO_FROM_COPAL_E08	1	222795118	222795769	2	-2.1662
DLP_REDO_FROM_COPAL_E08	1	222797462	238452924	10768	-0.0937
DLP_REDO_FROM_COPAL_E08	1	238456635	238457223	3	-1.8255
DLP_REDO_FROM_COPAL_E08	1	238458714	243142309	3703	-0.1073
DLP_REDO_FROM_COPAL_E08	1	243145593	243268406	16	0.4349
DLP_REDO_FROM_COPAL_E08	1	243268959	246700047	2337	-0.123
DLP_REDO_FROM_COPAL_E08	1	246701700	247010753	211	0.3428
DLP_REDO_FROM_COPAL_E08	1	247012724	247136654	66	-0.1231
DLP_REDO_FROM_COPAL_E08	1	247137136	249224388	1124	-0.6995
DLP_REDO_FROM_COPAL_E08	2	12784	9720869	7391	-0.2769
DLP_REDO_FROM_COPAL_E08	2	9727023	9807984	64	0.3653
DLP_REDO_FROM_COPAL_E08	2	9808296	12075505	1577	-0.2718
DLP_REDO_FROM_COPAL_E08	2	12076119	12077278	2	-3.163
DLP_REDO_FROM_COPAL_E08	2	12077793	30433569	12214	-0.2567
DLP_REDO_FROM_COPAL_E08	2	30437777	30437786	2	-4.1405
DLP_REDO_FROM_COPAL_E08	2	30439774	34652871	2783	-0.2617
DLP_REDO_FROM_COPAL_E08	2	34659936	34737057	57	0.2329
DLP_REDO_FROM_COPAL_E08	2	34737163	37986275	2450	-0.2624
DLP_REDO_FROM_COPAL_E08	2	37986276	37994582	8	-1.3478
DLP_REDO_FROM_COPAL_E08	2	37994958	42004689	2987	-0.2476
DLP_REDO_FROM_COPAL_E08	2	42004851	42004997	4	-3.9871
DLP_REDO_FROM_COPAL_E08	2	42005428	43637789	1120	-0.2576
DLP_REDO_FROM_COPAL_E08	2	43638185	43686583	35	-0.7782
DLP_REDO_FROM_COPAL_E08	2	43687153	44227059	359	-0.2842
DLP_REDO_FROM_COPAL_E08	2	44228381	44251810	23	0.2906
DLP_REDO_FROM_COPAL_E08	2	44252527	44552391	206	-0.3016
DLP_REDO_FROM_COPAL_E08	2	44559555	50912161	4560	0.3207
DLP_REDO_FROM_COPAL_E08	2	50912393	50938443	20	-0.162
DLP_REDO_FROM_COPAL_E08	2	50938795	52754468	1239	0.3058
DLP_REDO_FROM_COPAL_E08	2	52754480	52781295	31	1.0897
DLP_REDO_FROM_COPAL_E08	2	52781326	68110664	10106	0.2413
