Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	61735	12839576	6510	0.0322
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	12841928	12859292	6	-1.3185
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	12859399	13444682	60	-0.1254
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	13444908	13467830	3	-1.188
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	13468022	17182437	2234	0.0197
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	17190004	17262232	62	-0.6617
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	17262247	25583341	5253	0.0161
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	25593128	25662212	31	-1.8214
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	25663310	72768418	28773	0.002
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	72768498	72811148	47	0.5585
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	72811904	106019483	20985	-0.0086
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	106021204	106022375	12	0.7893
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	106024055	110227515	2664	-0.0068
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	110232974	110240155	16	0.8913
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	110240178	114272574	2922	0.0021
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	114280717	114280781	2	-1.9778
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	114281759	148947710	5404	0.001
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	148949202	149386959	161	-0.6643
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	149387593	152762008	1710	0.0295
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	152762046	152767947	26	-0.6651
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	152767963	158866573	3619	6e-04
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	158868501	158869759	2	-1.9586
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	158874818	165654527	5001	-4e-04
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	165654851	165654869	2	-2.1146
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	165656104	196732086	20836	-8e-04
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	196738623	196823317	94	-0.4508
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	196823613	248592872	35605	0.0051
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	248593241	248595681	2	-1.9313
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	1	248600297	249224388	218	0.0561
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	12784	296789	182	0.0728
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	296812	296852	2	-2.4351
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	300879	4205687	2803	0.0236
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	4213864	4224019	42	-0.7759
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	4230062	6303489	1672	0.0128
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	6303681	6304229	2	-1.7812
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	6304274	27439751	14623	0.0089
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	27441302	27441500	3	-1.6971
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	27441904	52754881	17774	-0.0053
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	52758753	52790140	35	-0.5164
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	52790493	78700957	16742	0.0062
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	78702076	78725531	15	-0.9782
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	78727531	106883229	12849	0.0093
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	106883331	106887408	9	1.0006
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	106887870	185012190	47293	0.0044
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	185013409	185064842	31	-1.1314
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	185072376	203896897	10605	-0.0027
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	203899800	203902046	3	-2.7104
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	203904140	208354955	2882	0.0131
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	208355178	208359476	17	-0.7803
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	2	208359519	243089456	22092	0.008
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	3	60345	6317359	5561	-0.0253
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	3	6319263	6331604	16	0.575
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	3	6331853	6646543	243	-0.005
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	3	6651128	6653332	23	-0.7965
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_F12_1343816	3	6655078	21340812	10082	0.0017
