Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	61735	1669101	240	-0.1279
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	1669156	1687650	4	-2.0768
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	1687687	16149915	8162	0.009
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	16153497	16153925	6	-1.6863
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	16154201	35091674	10731	0.0212
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	35102654	35104491	20	-0.6909
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	35114268	72763370	23842	0.0239
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	72768418	72811148	48	-0.9188
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	72811904	152555706	33731	0.0177
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	152555767	152586594	34	-0.8782
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	152590494	169216937	11543	0.0297
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	169233974	169238558	4	-2.8607
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	169238731	192027932	14980	0.0257
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	192028535	192036732	6	-1.2992
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	1	192037153	249224388	39223	0.0252
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	2	12784	4205687	2988	0.0143
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	2	4213864	4224019	42	-0.7107
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	2	4230062	243089456	146870	0.0199
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	60345	6651211	5842	0.0377
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	6651237	6653332	21	-0.7961
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	6655078	68746164	41958	0.0259
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	68746259	68747413	14	-0.9978
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	68748758	129762859	34715	0.0192
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	129763698	129806236	52	0.3901
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	129806924	148962976	11908	0.0225
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	148963395	148968121	25	-0.775
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	148971080	161935875	7967	0.0219
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	161935939	161936456	3	-1.264
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	161943710	162122771	90	0.0324
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	162123366	162142705	15	-0.6545
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	162144248	162512657	262	0.0257
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	162512739	162632001	78	0.3786
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	162632020	175080611	7650	0.0211
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	175080747	175081226	4	-1.9978
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	175081325	192873704	11510	0.0251
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	192873807	192882903	22	0.9254
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	192886435	194204364	871	0.0131
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	194210298	194210679	2	-2.6491
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	3	194211972	197896118	1831	-0.0188
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	12281	43058	30	-0.6918
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	43109	640571	256	-0.0664
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	640609	694852	15	-0.5809
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	694978	3903714	1347	0.0143
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	3907714	4119686	60	-0.2499
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	4122828	10210390	4091	0.0207
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	10214160	10231498	29	-1.1466
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	10234214	45005852	23661	0.022
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	45006192	45006335	3	-2.7373
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	45010969	48773430	2191	0.0314
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	48773749	48784344	3	-1.8018
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	48785049	49267848	141	-0.0196
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	49291192	49291355	2	-1.7713
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	49297220	70127652	10892	0.0119
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	70128412	70231799	52	-0.4558
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	70232022	155802548	51457	0.0215
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	155803005	155803078	3	-2.5721
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	155803199	190957486	23132	0.0196
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	4	190958143	191027923	7	-1.0063
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	5	15532	57321646	35851	0.0202
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	5	57326027	57333533	32	1.1162
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D10_747876	5	57338357	180790320	77145	0.0225
