Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	61735	13763960	6625	-0.0105
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	13776072	13776828	2	-1.3725
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	13787273	16153497	1794	0.0015
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	16153536	16167780	11	0.5251
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	16167799	16808694	285	5e-04
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	16813921	16963313	40	-0.4336
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	16963545	17016880	36	0.0616
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	17017078	17114712	38	-0.2329
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	17177045	17282425	69	-0.6358
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	17283075	25595947	5269	0.0055
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	25596405	25646986	25	0.4855
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	25661501	35103510	4982	0.0019
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	35103827	35104491	10	-0.9546
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	35114268	72750353	23869	0.0048
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	72756113	72763370	9	-0.8848
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	72768418	72810938	45	0.2983
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	72811076	104159384	20102	0.0096
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	104163499	104268222	27	0.7793
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	104303403	106013376	920	0.0144
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058	1	106019205	106022375	17	0.7761
