Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	61735	4421072	1404	0.1054
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	4422005	4423896	3	-2.397
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	4424098	17005978	7329	0.1033
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	17011450	17045577	31	0.4398
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	17045761	17190004	28	-0.1873
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	17190862	17258139	46	0.4145
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	17258501	25595947	5273	0.1062
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	25596405	25646986	25	0.554
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	25661501	72771143	28705	0.0908
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	72771367	72811148	43	-0.5254
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	72811904	104221647	19945	0.0745
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	104221812	104260032	18	0.5282
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	104260239	106019205	914	0.0681
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	106019236	106022375	16	0.6253
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	106024055	110233037	2648	0.0831
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	110233053	110246126	18	0.5123
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	110246130	112695965	1947	0.0931
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	112696087	112697213	21	0.5651
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	112697241	151346260	7273	0.0902
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	151347474	151347700	3	1.2181
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	151347820	152555176	726	0.0769
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	152555527	152586594	36	1.0997
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	152590494	168083007	10544	0.0861
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	168089111	168094709	9	-0.892
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	168094795	168602862	354	0.0755
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_C02_799830	1	168606227	168606883	4	-0.9777
