Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	61735	6024580	2813	0.0396
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	6025533	6044168	12	0.5622
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	6045022	9589413	2022	0.012
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	9596481	9596865	2	1.894
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	9602373	16149915	3562	0.0129
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	16153497	16154201	7	-1.9048
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	16154239	16155010	3	-0.8288
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	16165661	16953842	323	0.0504
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	16954295	17056457	58	0.3707
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	17076467	17190004	23	0.1418
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	17190862	17282425	65	-0.3372
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	17283075	25583341	5266	0.0134
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	25593128	25673154	34	0.3951
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	25678084	72768498	28819	8e-04
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	72768916	72811133	44	-0.4821
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	72811148	102707876	19338	0.0045
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	102708517	102710749	3	-1.3067
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	102718036	104159384	721	-0.0208
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	104163499	104163787	2	1.8923
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	104178038	110220086	3612	0.0013
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	110220590	110240155	33	-0.3867
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	110240178	112695965	1959	0.0069
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	112696087	112697241	22	-1.603
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	112697376	149242663	6487	0.0092
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	149242725	149249447	19	0.6359
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	149254329	161508791	7048	0.0063
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	161508875	161638201	47	-0.3877
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	161638480	187715854	18225	0.0029
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C04_1244836	1	187717560	187721369	2	-1.646
