Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	61735	8893082	4416	-0.0159
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	8894974	8894989	2	-1.7712
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	8898626	12841928	2081	1e-04
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	12845863	12883096	29	-0.7359
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	12892309	13187370	17	0.1387
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	13214448	13506877	26	-0.5403
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	13538311	16926148	2133	0.0017
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	16926190	16970456	31	-0.4036
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	17005734	19586967	1792	-0.0123
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	19604101	19604134	2	-1.7153
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	19604374	25582629	3584	3e-04
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	25582679	25646986	32	-0.4345
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	25661501	37890447	6471	0.0089
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	37890951	37920683	14	-0.5791
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	37921043	72746567	22314	0.0035
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	72746581	72820027	68	0.3006
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	72822505	77269215	2895	0.0035
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	77269962	77270010	2	-1.6557
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	77272979	84124004	4392	0.0023
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	84124469	84127092	5	-0.8799
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	84132014	104159384	12772	0.0012
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	104163499	104163787	2	1.5914
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	104178038	110224427	3612	-3e-04
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	110225642	110226378	6	-0.8898
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	110226487	110227515	7	-0.0835
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	110232974	110240178	17	-1.2932
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	110242953	111376081	839	0.0061
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	111376220	111393713	46	0.2405
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	111394866	111928394	442	0.0184
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	111929137	111929780	4	-0.9397
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	111935668	112690326	619	0.0097
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	112695965	112697376	24	-0.4408
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	112697390	148870937	6351	-0.0023
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	148893345	149422108	175	-0.6717
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H04_667078	1	149422459	149521840	5	-0.1815
