Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	61735	16149915	8419	0.0187
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	16153497	16153925	6	-1.7968
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	16154201	17011669	354	-0.0201
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	17011778	17017078	14	-0.3769
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	17017530	17048479	17	-0.8943
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	17056457	17177965	22	0.1282
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	17182437	17262247	64	-0.4531
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	17276241	25583341	5270	0.023
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	25593128	25645184	22	0.5853
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	25645658	96155176	44158	0.0181
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	96155716	96156066	2	-2.0376
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	96156216	104132359	4834	0.0126
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	104155643	104261206	35	-0.3722
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	104268222	106021204	927	0.0269
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	106021219	106022344	9	0.8868
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	106022360	110227515	2672	0.0231
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	110232974	110240178	17	-1.0476
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	110242953	112690326	1957	1e-04
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	112695965	112696997	17	-0.3941
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	112697012	152555176	8050	0.0225
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	152555527	152586594	36	1.0445
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	152590494	152762008	175	-0.0076
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	152762046	152768700	33	0.4875
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	152773905	196727850	29564	0.0137
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	196731035	196801850	89	-0.295
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	196801987	196812507	4	0.2648
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	196812530	196815791	2	2.8661
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	196816730	225673293	19422	0.0182
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	225673516	225673784	2	-1.5297
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	1	225674255	249224388	16526	0.0159
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	2	12784	34691069	24111	0.0115
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790	2	34699315	34737057	46	0.6335
