Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	61735	228706	18	-0.4814
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	228729	16869363	8712	-9e-04
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	16871278	17190004	104	-0.4003
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	17190862	17262247	62	-0.7358
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	17276241	25583341	5273	2e-04
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	25593128	25662212	31	-0.4219
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	25663310	35091458	4964	1e-04
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	35091594	35104491	23	-0.6057
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	35114268	39132430	2197	5e-04
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	39132431	39132462	4	-0.7935
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	39135188	41344619	1169	0.0108
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	41346428	41375120	18	0.5345
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	41376500	104163787	40632	1e-04
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	104178038	104268222	25	0.4242
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	104303403	106013376	920	-0.0129
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	106019205	106022375	17	0.6528
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	106024055	108729759	1944	-0.004
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	108734235	108737496	3	-1.0231
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	108739104	110224427	711	-0.006
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	110225642	110227515	13	-0.3777
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	110232974	110242953	18	-1.114
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	110244998	121168848	7092	0.0013
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	121172329	121355881	75	0.5552
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	121436219	152555527	2859	-0.0181
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	152555706	152571937	15	0.8475
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	152572181	152575461	9	1.3277
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	152579449	152586594	11	0.8023
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	152590494	152759678	171	-0.0197
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	152761923	152773905	38	0.3858
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	152776755	189085409	24442	-0.0028
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	189085958	189086987	5	-0.9785
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	189087000	196727850	5115	0.0033
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	196731035	196801337	83	-0.3607
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	196801428	220761607	16302	-2e-04
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	220762524	220762910	2	-1.5774
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	220765879	238855281	12547	0.002
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	238855638	238856094	3	-1.2995
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	1	238862449	249224388	7129	0.0077
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	12784	14703694	11056	0.009
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	14704949	14710092	12	-1.2554
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	14710364	35709832	13770	0.0065
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	35711861	35712218	2	-1.3601
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	35712222	35975973	211	0.0398
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	35977790	35986908	5	0.8952
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	35987916	52265663	11853	0.0084
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	52266907	52273900	2	-1.8743
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	52274829	146862085	54006	0.0043
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	146864404	146866934	24	-1.7236
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	146877806	208350754	37018	0.0071
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	208354912	208359796	22	-0.7594
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	2	208360146	243089456	22150	0.0063
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	60345	4087787	3640	0.0048
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	4088809	4099877	30	-1.0054
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	4103601	65188453	41737	1e-04
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	65189235	65210315	52	-0.7633
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	65210452	84699684	12388	-0.0014
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	84699758	84702136	14	-0.6483
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	84702161	119350345	18685	-3e-04
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	119351398	119353938	5	-1.5645
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	119355411	128386602	5462	0.0078
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	128391626	128412331	13	0.4758
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	128414161	129762859	625	-0.0049
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	129763698	129806236	52	-1.4317
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	129806924	162508268	20296	-0.0027
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	162512657	162625995	70	0.7168
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	162626572	189359903	16694	-0.006
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_F08_1513158	3	189360278	189364638	13	-0.9455
