Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	61735	72788696	42957	-0.08
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	72788725	72802504	13	-0.586
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	72804578	83829675	7096	0.0215
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	83829841	83829980	2	-2.0783
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	83833922	104155802	12954	0.0257
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	104157161	104256915	24	0.4418
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	104256961	106013376	925	0.0234
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	106019205	106022375	17	0.8853
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	106024055	149044883	11054	0.0567
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	149045087	149152164	49	1.003
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	149152285	149739073	133	0.5206
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	149748542	149835493	50	1.0514
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	149844995	150745570	410	1.3792
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	150748664	151339511	258	1.0234
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	151345758	151346260	7	0.2337
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	151347474	151916692	343	1.0384
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	151916751	152555527	398	1.3824
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	152555706	152586576	34	-0.344
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	152586594	152762762	185	1.3174
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	152762890	152767963	17	1.9779
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	152768259	152801174	31	1.3806
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	152811183	154984595	1246	0.2252
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	154987446	164823199	6550	0.6085
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	164825007	164983997	153	0.1031
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	164991046	165835364	770	0.6077
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	165835548	165835690	3	1.804
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	165837978	166035814	156	0.5697
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	166035856	166036147	2	2.0076
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	166038967	167242903	933	0.6286
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	167243567	167853403	449	0.0669
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	167862546	172639582	3395	0.6471
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	172647375	174796556	1175	0.2454
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	174796699	174802040	20	-0.3208
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	174802134	188382040	9095	0.1975
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	188382450	188805652	249	1.3007
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	188806092	188834822	8	0.8286
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	188835211	190028169	874	0.5681
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	190028604	190525778	294	1.0293
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	190527622	191015572	328	0.4698
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	191017280	193143848	1338	0.8789
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	193143863	194423511	969	1.2241
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	194423891	196714822	1468	0.5427
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	196714873	196801655	88	-0.0605
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	196801784	197822769	550	0.6485
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	197822962	198124134	184	0.9503
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	198128234	199539063	962	0.3381
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	199542563	199782481	125	1.5007
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	199782570	200188593	333	0.866
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	200189305	203120650	1906	0.3979
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	203122170	204193791	714	1.2315
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	204194374	204197625	10	0.6309
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	204198262	204233776	29	1.1548
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	204236220	204278228	36	0.8342
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	204279027	204303622	31	1.3409
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	204307047	204335040	30	0.7191
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	204336747	204370414	22	1.2985
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	204370856	204514955	135	0.8772
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_H06_735344	1	204514959	204541275	17	1.2481
