Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	61735	17005978	8772	-0.0258
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	17011450	17048479	35	0.4782
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	17056457	72750353	34236	-0.0223
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	72756113	72763370	9	-1.2373
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	72768418	72811148	48	0.9135
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	72811904	95134182	14471	-0.0265
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	95134217	95134329	3	-1.1647
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	95135107	106013376	6566	-0.026
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	106019205	106022375	17	0.9161
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	106024055	108729759	1944	-0.0167
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	108734235	108737496	3	-0.8496
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	108739104	110207321	704	-0.0419
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	110219008	110240178	37	0.2408
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	110242953	111377368	842	-0.0184
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	111377565	111388184	37	-0.802
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	111388226	112312154	713	-0.0375
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	112312211	112312551	3	0.853
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	112313078	112690326	364	-0.0166
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	112695965	112697241	23	-0.7333
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	112697376	121482979	5188	-0.018
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	144007049	144076688	40	0.3085
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	144081043	144472001	3	1.5908
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	144527147	149242663	1262	0.3845
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	149242725	149248727	17	0.9883
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	149248841	152555527	1533	0.359
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	152555706	152586594	35	1.4621
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	152590494	152761923	172	0.3922
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	152761939	152773905	37	0.8594
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	152776755	154638826	1062	0.376
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	154639255	154641139	2	-0.7971
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	154642129	158334569	2059	0.3672
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	158337635	158338906	4	-1.0657
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	158341273	158866573	493	0.3689
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	158868501	158869759	2	-1.076
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	158874818	169216937	7719	0.3854
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	169233974	169242401	8	-0.5375
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	169254877	185187843	10588	0.3809
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	185190647	185192077	2	-0.8857
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	185192294	189986393	3177	0.3772
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	189986410	189986426	2	-0.7494
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	189991067	196732086	4449	0.3705
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	196738623	196823836	97	0.7427
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	196824600	215491496	12559	0.3788
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	215493469	215499104	7	-1.2841
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	215501031	240391740	17461	0.3863
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	240394015	240394139	6	-2.1571
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	240396105	248610056	5721	0.3833
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	248610507	248637264	10	-0.3573
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B08_1513152	1	248638626	249224388	204	0.4395
