Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	61735	17190862	8836	0.0542
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	17195155	17262247	61	-0.5183
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	17276241	21147828	2729	0.0776
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	21152640	25583341	2529	-0.6262
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	25593128	25646946	27	-0.0478
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	25646986	30617856	2284	-0.6005
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	30619205	30619866	3	-7.3154
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	30622909	30738355	112	-0.5728
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	30738432	30745210	10	-1.2276
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	30747576	31162528	349	-0.5985
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	31163456	31505602	202	0.5055
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	31506004	31621427	47	0.0452
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	31623667	31625346	2	-1.4972
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	31625389	48065338	9161	0.0851
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	48071156	48071177	2	-1.6614
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	48071348	51494801	1915	0.1121
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	51503344	62466233	7670	0.5236
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	62468653	62513294	49	-0.5834
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	62516683	67255744	3540	0.5149
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	67256040	72763370	3510	0.0803
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	72768418	72809842	44	0.4078
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	72810938	83850358	7117	0.0773
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	83850390	83854308	3	-1.2954
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	83857253	94337501	6737	0.073
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	94341724	94365044	13	0.5336
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	94371475	102012564	4973	0.0901
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	102012640	102017438	19	-0.4539
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	102017623	106013376	2174	0.0845
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	106019205	106022375	17	0.8878
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	106024055	108418552	1710	0.0865
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	108419357	108455555	31	0.5796
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	108460721	110226743	925	0.0745
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	110226970	110246281	29	-0.3825
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	110250235	111928394	1321	0.071
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	111929137	111933231	5	-1.0513
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	111935668	145151728	6040	0.0792
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	145151959	145152757	5	1.4462
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	145156301	152555706	2645	0.0725
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	152555767	152586594	34	-1.7364
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	152590494	152767864	197	0.0653
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	152767884	152768700	10	-0.4783
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	152773905	168953324	11125	0.0606
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	168953645	169013935	49	0.5006
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	169015929	169216937	168	0.0257
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	169233974	169238558	4	-2.4359
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	169238731	179323738	6627	0.0738
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	179330528	179333315	4	-0.8967
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	179339206	180976773	1021	0.0723
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	180976891	181018416	25	0.4713
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	181020181	203358176	14878	0.0744
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	203361173	203407623	45	0.4825
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	203410050	227425301	16223	0.073
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	227426072	227426406	3	-1.1077
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	227429178	240051026	9183	0.0662
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	240052422	240052604	2	-1.4403
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	240053050	245543358	3953	0.0543
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	245545009	245545144	2	-1.6609
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F11_787638	1	245546398	248805339	2165	0.0678
