Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	61735	12873385	6535	-0.2269
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	12877057	12927107	12	-2.006
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	12927856	17030245	2226	-0.2171
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	17035220	17048196	11	-0.948
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	17048405	25582629	5334	-0.2076
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	25582679	25646946	31	0.2394
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	25646986	41005755	8139	-0.2064
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	41006154	60046102	11841	0.1326
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	60052066	60058279	2	-2.1487
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	60058706	62112763	1428	0.1461
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	62113102	62118187	5	-1.1179
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	62119809	72763370	7358	0.1335
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	72768418	72811148	48	1.594
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	72811904	108115473	22459	0.107
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	108116169	110227515	1198	-0.2159
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	110232974	110246281	24	-0.998
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	110250235	112690326	1935	-0.219
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	112695965	112697198	21	0.6574
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_E07_1343842	1	112697213	120607154	5060	-0.2119
