Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	61735	228706	18	-0.5629
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	228729	17190862	8780	-0.0151
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	17195155	17283075	65	-0.7852
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	17284920	25583341	5239	-0.0183
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	25593128	25662005	30	-1.9612
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	25662212	49914123	13331	-0.0139
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	49914932	49997863	28	-0.9003
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	49999266	72768498	15362	0.0019
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	72768916	72811133	45	-1.4108
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	72811148	89475255	10934	0.0079
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	89477958	89478205	2	-3.1223
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	89481524	104157317	9061	0.0028
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	104157336	104178038	7	0.9542
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	104221531	104225568	11	-0.5609
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	104239689	104256915	4	0.2579
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	104256961	104303403	10	0.8363
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	104303501	110227396	3590	0.0041
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	110227500	110242953	20	-0.8419
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	110244998	112690326	1937	-0.003
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	112695965	112697213	22	0.7309
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	112697241	152555527	8015	-0.0152
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	152555706	152586238	31	-1.9302
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	152586278	152590565	6	-0.5523
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	152590663	152759678	168	0.0216
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H07_1343740	1	152761923	152768700	37	-1.9535
