Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	61735	86341	15	-0.7607
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	98588	12892508	6536	0.0019
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	12909977	12927107	7	-0.6991
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	12927856	16896821	2165	0.0028
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	16903726	17005776	38	0.3809
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	17005978	17011669	5	-0.1429
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	17011778	17182437	54	0.4901
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	17190004	17257943	46	-0.3695
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	17258139	25582629	5278	-0.0043
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	25582679	25646946	31	0.5347
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	25646986	35102654	4970	-0.0014
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	35102670	35104491	19	-0.5751
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	35114268	55113856	11055	-0.0014
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	55115117	55119515	11	-0.9214
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	55119534	72750353	12767	0.0322
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_G08_871058	1	72756113	72763370	9	-0.9215
