Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	61735	3756155	1045	0.073
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	3762761	3762889	2	-1.3598
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	3763164	7552461	2633	0.0257
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	7552590	7554982	2	-1.6022
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	7557152	12892508	2880	0.0292
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	12909977	13178385	11	0.5735
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	13181534	13187370	4	-0.1795
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	13214448	13384258	12	0.5139
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	13384264	16869363	2144	0.0156
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	16871278	16926190	12	-0.5024
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	16926511	17112177	85	-0.0221
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	17114427	17261797	66	-0.4191
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	17261888	25583341	5274	0.0218
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	25593128	25646184	24	-1.5914
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	25646689	30737373	2405	0.019
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	30738355	30741656	9	-0.5871
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	30741950	49916897	10985	0.0165
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	49917084	49997863	26	-0.9067
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	49999266	72750353	15429	0.0134
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	72756113	72808751	49	0.2759
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	72808768	104221812	20111	0.0117
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	104221878	104268222	20	-0.4746
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	104303403	110227500	3606	0.0036
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	110227515	110240178	18	-0.8198
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	110242953	111375566	839	-9e-04
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	111376081	111388226	41	-0.7376
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	111392067	112690326	1079	-5e-04
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	112695965	112697376	24	0.5059
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	112697390	121130963	5108	0.0147
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	121155528	121168848	2	-1.9203
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	121172329	144949975	207	-0.0098
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	144957688	145080051	47	-0.325
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	145083864	148906617	1004	0.0247
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E10_780946	1	148907270	149243072	126	-0.5
