Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	61735	1663336	237	-0.0545
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	1663396	1663831	2	-1.7436
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	1669101	2061969	140	-0.0211
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	2069681	2074104	3	-1.2709
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	2075068	25583341	13715	0.0142
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	25593128	25662212	31	0.479
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	25663310	72768418	28681	0.0152
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	72768498	72809842	43	-0.6937
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	72810938	104103230	19899	0.0143
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	104109238	104132359	18	0.6005
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	104155643	104159384	9	0.0142
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	104163499	104260239	25	-0.3598
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	104261206	152555527	13549	0.0181
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	152555706	152586594	35	-1.4494
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	152590494	152759678	169	0.0271
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	152761923	152773905	38	-0.4909
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	152776755	240391740	59189	0.0159
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	240394015	240394139	6	-1.8787
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	240396105	248600796	5679	0.0186
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	248601320	248637264	13	0.5972
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	248638626	248725234	24	0.0177
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	248736075	248794464	31	-0.7138
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	1	248795289	249224388	147	0.0389
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	2	12784	34691069	23978	0.012
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	2	34701394	34737163	46	-0.4264
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	2	34737556	41238235	4775	0.0159
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	2	41238443	41251233	24	-0.4787
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	2	41251265	52743925	8133	0.018
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	2	52754468	52781542	40	-1.8848
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	2	52787949	89614410	22732	0.0142
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	2	89615442	90274766	164	-0.7526
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	2	90301264	243089456	89138	0.0138
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	3	60345	6646543	5787	0.0263
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	3	6651128	6653332	23	-0.7589
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_B02_799972	3	6655078	25396077	13140	0.0147
