Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	61735	98588	16	0.582
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	98602	707099	19	-0.161
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	712545	762118	15	0.5759
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	765269	1510801	176	-0.0446
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	1627918	1672603	16	0.8821
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	1687587	2327815	225	-0.0028
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	2329564	2352280	6	-0.9657
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	2352816	5374183	1827	-0.025
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	5374684	5380521	2	1.4358
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	5380602	10370587	2885	-0.0068
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	10370637	10377983	16	-0.6525
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	10381772	12883096	1336	-0.0093
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	12892309	13375345	19	-0.6132
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	13375401	16869363	2151	-0.0142
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	16871278	17005978	45	0.2841
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	17011450	17012741	12	1.0994
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	17012785	17082591	27	0.229
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	17087292	17177045	17	-1.0255
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	17177965	25593128	5318	-0.0149
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	25595881	25673154	33	-0.5038
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	25678084	35102654	4951	-0.0044
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	35102670	35104491	19	-0.7947
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	35114268	53488450	9956	-0.0025
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	53489044	53489740	10	-0.6717
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	53492604	55721319	1526	-0.0133
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	55723441	55724299	7	-0.9497
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	55729368	72763370	12297	-5e-04
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	72768418	72811148	48	1.3965
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	72811904	83816477	7082	-0.001
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	83825577	83825590	2	-1.788
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	83828273	92573763	5888	0.007
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	92579244	92585040	6	-1.2608
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	92585831	94408908	878	0.0018
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	94409985	94411750	2	-1.638
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	94413190	104225557	6191	2e-04
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	104225568	104268222	14	-0.5194
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_A06_1343796	1	104303403	106013376	917	0.0106
