Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	61735	229075	20	0.5096
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	229158	229619	3	-1.3701
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	229677	12857863	6513	0.0511
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	12858053	12882985	25	0.4424
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	12883096	16153857	1868	0.0035
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	16153925	16154966	4	1.0717
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	16155010	17012314	356	0.0116
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	17012422	17048479	26	0.5678
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	17056457	17190862	25	-0.1506
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	17195155	17282425	64	0.6707
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	17283075	31145849	8049	0.0353
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	31148956	31234036	66	0.3493
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	31237596	31621427	194	0.0085
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	31623667	31625346	2	-1.4552
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	31625389	37882959	3467	0.0168
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	37884025	37920683	20	0.4895
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	37921043	56495121	10667	0.0169
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	56495368	56496645	3	-2.2788
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	56499451	70726797	10362	0.0044
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	70727090	70731885	3	-1.1949
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	70736567	72750353	1320	0.0135
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	72756113	72763370	9	-1.2421
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	72768418	72808719	39	0.4438
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	72808751	104155802	20100	0.0219
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	104157161	104268222	33	-0.5586
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	104303403	106019236	922	0.0145
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	106019310	106022344	13	0.6466
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	106022360	110232974	2675	0.0156
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	110233037	110234628	10	-1.1538
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	110235032	120121938	6734	0.0133
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	120122143	120126452	21	0.516
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	120126990	145280322	688	0.0482
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	145287545	145287875	3	1.8008
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	145288350	152555706	2589	0.0755
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	152555767	152586238	30	-1.9516
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	152586278	152763040	194	0.0873
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	152763069	152767864	8	-0.9902
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	152767884	155180466	1355	0.0469
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	155189160	155201064	11	-0.8224
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	155211667	161502211	3919	0.0347
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	161502894	161638513	51	0.5641
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	161648237	186422415	17401	0.0127
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	186425209	186444919	8	-0.7763
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	186446815	189648157	2085	0.0065
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	189648483	189654576	4	-1.0733
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	189656102	193213210	2444	0.0099
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	193213391	193213474	4	1.6361
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	193221915	195381965	1419	0.0183
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	195382418	195384254	3	-1.271
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	195384958	196714873	874	0.0204
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	196727850	196815791	96	-0.5775
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	196816730	199089280	1350	0.0326
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	199089394	199093350	8	-0.6883
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	199093876	199111363	23	0.1201
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	199111426	199113840	8	-0.9992
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	199114238	220945290	15007	0.0133
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	220945389	220951135	4	1.2305
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	220953310	225652884	3020	0.0357
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	225657275	225684011	37	0.3676
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	225684132	228513718	1645	0.03
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	228527290	228544236	8	0.8856
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	228544674	243047556	11008	0.0173
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	243048740	243058579	20	0.5565
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	243058609	248713868	3654	0.0179
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	248713991	248809369	42	-0.583
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	1	248818483	249224388	140	0.0923
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	2	12784	1283582	841	0.0806
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A05_628252	2	1289893	1298915	10	0.8273
