Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	61735	98602	17	0.4829
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	228706	356542	12	0.21
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	404171	76050844	44868	-0.1675
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	76054763	76054854	2	-2.539
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	76059509	104159384	18137	-0.1898
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	104163499	104268222	27	-0.712
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	104303403	106019205	921	-0.1824
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	106019236	106022375	16	-1.8898
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	106024055	110220739	2647	-0.1839
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	110221727	110227515	16	0.2699
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	110232974	110242953	18	1.164
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	110244998	111377368	835	-0.1695
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	111377565	111383334	26	0.1907
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	111383349	144008335	6287	-0.1836
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	144008375	145173423	233	0.1459
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	145180842	147805232	876	0.3736
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	147806677	149024802	79	0.099
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	149024808	149202878	83	-0.6687
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	149203331	149429206	81	-0.3747
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	149436842	152555176	1498	0.3357
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	152555527	152586594	36	1.6423
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	152590494	152761923	172	0.3204
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	152761939	152776755	38	-0.2144
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	152778443	157011325	2187	0.3659
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	157011595	160920688	2812	0.0913
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	160926937	187715854	18568	0.6469
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	187717560	187721369	2	-1.3244
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	187724610	196714873	5981	0.6188
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	196727850	196761820	42	-1.9022
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	196762066	196798643	30	-0.1895
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	196798664	196799505	7	-1.4511
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	196799699	196801428	6	-0.1642
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	196801442	196801655	2	-3.1115
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	196801784	196815791	9	-0.0273
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	196816730	198304536	824	0.6342
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	198306860	198307779	3	-0.8796
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	198311359	198808243	360	0.6119
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	198811372	198811435	2	-0.979
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	198813084	227426072	19314	0.6576
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	227426205	227426406	2	-0.8471
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	227429178	231780909	2793	0.6617
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	231782203	231782209	3	-0.5835
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	231788501	248688615	12462	0.6559
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	248697391	248737447	8	0.2755
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	248749194	248809109	37	-0.55
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	1	248809369	249224388	141	0.6706
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	12784	24599249	17906	-0.1217
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	24601511	24611727	21	-0.927
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	24613559	35975973	7061	-0.1128
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	35977790	35986716	4	-1.9725
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	35986908	61295473	18091	-0.1305
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	61296119	68376253	4354	-0.4507
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	68376880	87302107	11706	-0.1287
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	87306948	87309263	2	-1.818
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	87309834	98151534	2066	-0.1328
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	98154265	98162189	5	-1.1323
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	98166878	106880095	5561	-0.1163
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	106880713	106887408	13	-2.3109
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	106887870	126441368	11467	-0.1209
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	126441733	126441752	2	-1.7821
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	126442000	127828941	905	-0.1258
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	127829282	127857946	18	-0.6942
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	127858646	130242530	1549	-0.1103
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	130245738	130245943	2	-1.7981
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	130246343	130793856	366	-0.0983
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	130793883	130874488	16	-0.6386
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	130874876	133904283	1414	-0.1166
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	133904829	133912092	3	-1.7357
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	133912377	134511555	400	-0.1246
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	134511570	134512362	2	-2.1302
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	134513075	140361385	3743	-0.1384
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	140366091	140373334	2	-4.0118
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	140378548	180413371	24511	-0.1454
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	180418211	180422137	30	-0.992
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	2	180425643	243089456	38559	-0.1381
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	3	60345	13121220	10822	0.1004
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	3	13122728	13127835	3	-1.2093
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	3	13128430	53023211	24936	0.0794
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	3	53028375	53039489	42	-0.4285
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	3	53039677	65188453	9545	0.0912
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	3	65189235	65210452	53	-0.6608
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	3	65216349	75578858	7374	0.0845
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878	3	75586271	75586805	2	1.7536
