Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	61735	98588	16	1.1694
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	98602	17017078	8772	-0.0143
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	17017530	17114427	35	-0.7375
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	17114634	17261888	66	-0.3749
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	17262232	17262247	2	-1.0163
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	17276241	72768498	34146	-0.0023
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	72768916	72811148	46	-1.575
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	72811904	75717968	1750	0.0108
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	75719001	75730071	7	-0.7674
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	75731724	78610869	1898	0.0061
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	78622729	78622891	2	-1.1588
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	78623480	104159347	16420	0.0027
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	104159384	104163787	3	-1.3681
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	104178038	104795504	283	7e-04
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	104798629	104798853	3	-1.0177
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	104802221	106013376	658	0.0071
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_G06_1365066	1	106019205	106022360	16	0.4586
