Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	61735	98588	16	-0.7306
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	98602	2061969	364	0.0538
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	2069681	2074104	3	-1.4396
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	2075068	12892508	6174	0.0165
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	12909977	12927107	7	0.7817
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	12927856	16149915	1851	0.022
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	16153497	16153925	6	-1.6662
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	16154201	16943613	323	0.021
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	16943638	17005734	25	0.3204
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	17005776	17011560	5	0.0108
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	17011669	17012190	4	-0.8923
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	17012226	17017078	11	-0.1672
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	17017530	17100230	29	0.3431
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	17100877	17190004	12	0.0283
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	17190862	17257943	45	-0.5132
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	17258139	21639984	2964	0.0116
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	21640124	21640395	2	-2.6784
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	21640501	25583341	2318	0.0309
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	25593128	25662212	31	0.635
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	25663310	35091674	4961	0.0167
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	35102654	35114268	21	-0.5363
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900	1	35115542	72768916	23862	0.0184
