Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	61735	16149915	8413	-0.09
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	16153497	16153925	6	-1.5478
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	16154201	16895627	309	-0.0971
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	16896821	17262247	161	0.2231
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	17276241	23023414	3793	-0.0879
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	23030199	23031451	3	-1.6091
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	23031894	72746567	30327	-0.0917
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	72746581	72811148	60	0.455
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	72811904	110226743	23715	-0.0989
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	110226970	110239522	20	0.7704
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	110240155	111366102	831	-0.1028
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	111370372	111393505	54	0.1778
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	111393713	112690326	1073	-0.0973
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	112695965	112706082	29	0.4297
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	112706118	149229843	6481	-0.0853
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	149242663	149248712	17	0.4916
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	149248727	152555527	1533	-0.0951
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	152555706	152586238	31	-1.9032
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	152586278	152586594	4	-0.8744
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	152590494	152762667	183	-0.0618
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	152762762	152763069	7	0.5487
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	152767467	153339024	476	-0.0804
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	153340649	153340824	2	-2.4022
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	153344374	161508875	4808	-0.095
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	161517939	161648621	50	-0.4909
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	161650375	196739972	24234	-0.1011
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	196740211	196801337	74	0.1732
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	196801428	196812530	11	0.6778
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	196815791	221113051	16509	-0.0964
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	221113623	221115601	3	-1.6861
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	1	221118500	249224388	19419	-0.0957
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	12784	8129338	6303	0.0627
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	8130885	8136044	7	-1.0109
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	8136618	29205658	13954	0.0659
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	29206648	29208139	3	-1.4209
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	29208523	34659936	3836	0.0775
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	34662978	34750876	69	0.3346
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	34751596	52155835	12645	0.0699
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	52158483	52160337	2	-1.344
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	52160942	52741737	378	0.1096
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	52743925	52781295	33	-0.5163
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	52781326	59304710	4567	0.0729
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	59304755	59306320	3	-1.4934
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	59308456	106135637	24449	0.0657
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	106138125	106138812	2	-1.8387
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	106139216	106883229	658	0.0552
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	106883331	106887255	8	0.9056
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	106887408	108440736	993	0.0611
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	108446969	108480907	2	1.9598
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	108492088	123477014	8554	0.0707
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	123479899	123482241	9	-0.6996
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	123483653	129638078	3894	0.0768
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	129638478	129640315	15	0.5272
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	129640329	146864429	10484	0.0565
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	146864443	146866707	19	0.8284
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	146866798	180047803	20283	0.0573
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	180047908	180079144	11	-0.451
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	2	180083591	243089456	38854	0.0644
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	60345	221434	156	0.0295
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	224602	230022	2	-1.9051
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	231459	6646543	5684	0.1082
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	6651128	6653222	21	-0.7203
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	6653244	11412604	3720	0.0914
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	11412823	11417265	4	-1.1892
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	11417332	68746259	38269	0.0881
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	68746284	68747413	13	-0.7978
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	68748758	84699793	9948	0.0787
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	84699871	84702136	12	0.5745
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	84702161	129760622	24776	0.0748
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	129761124	129806236	54	-1.4161
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	129806924	160943865	19252	0.0781
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	160944304	160955843	2	-1.2373
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	160956751	162226645	852	0.0882
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	162226738	162226794	2	1.2598
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	162226807	162504667	171	0.0974
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	162506530	162625995	74	0.5137
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	162626572	189363830	16690	0.0796
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	189363869	189364638	9	-0.6665
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	189370988	192388265	2155	0.0919
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	192390750	192390777	2	-1.3489
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	192392367	192877902	343	0.1143
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	192877962	192882903	19	1.0782
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	192886435	195390680	1489	0.0874
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	195399075	195474763	45	0.5258
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	3	195478694	197896118	1172	0.1059
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	12281	10210390	5794	-0.1294
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	10223416	10235268	35	-1.5669
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	10236142	16412556	4874	-0.1416
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	16413300	16430564	12	-1.4515
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	16431087	34765771	12087	-0.1428
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	34770306	34841364	58	0.4005
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	34841386	64684169	16569	-0.1384
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	64687561	64716431	39	0.2069
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	64717026	65821544	666	-0.155
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	65821688	65844434	33	0.155
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	65844757	66602675	523	-0.1532
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	66602942	66627962	25	0.1812
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	66628120	69244434	1606	-0.1446
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	69255070	69255070	2	-1.6531
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	69256759	69372003	26	0.1099
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	69374941	69485979	65	-1.6934
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	69489335	69877013	184	-0.0423
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	69877596	69878038	2	-2.1025
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	69879508	99512168	18051	-0.1406
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	99513448	99521345	3	-2.0489
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	99523707	115173700	9495	-0.1381
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	115175323	115184390	30	0.3613
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	115185823	117306026	1272	-0.1541
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	117306033	117335263	18	0.2676
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	117335608	122274144	3051	-0.1518
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	122274654	122291131	31	-0.685
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	122291522	128224242	3478	-0.1534
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	128229587	128230662	2	-1.8844
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	128230708	137942909	5297	-0.1352
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	137943042	137943055	3	-1.9193
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	137946369	149097869	6979	-0.1488
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	149098936	149100933	4	-1.3966
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	149102933	172987928	15001	-0.1407
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	172989148	172989533	12	-1.7121
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	4	172995979	191027923	12121	-0.1324
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036	5	15532	717909	314	-0.0016
