Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	61735	25583341	14163	0.0097
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	25593128	25646986	28	0.5274
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	25661501	72750353	28840	0.0143
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	72756113	72763370	9	-0.7058
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	72768418	72811148	48	0.5148
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	72811904	107654220	22128	0.0158
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	107655602	107661606	9	-1.0598
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	107662190	144849539	8819	0.0178
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	144849544	144868360	4	-1.4626
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	144869084	149521846	1297	-0.0443
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	149545372	149617451	6	0.9321
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	149617488	152761923	1695	0.0134
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	152761939	152773905	37	0.4533
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	1	152776755	249224388	65570	0.0139
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	12784	34691069	24102	0.0135
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	34699315	34737057	46	0.6105
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	34737163	52754881	13044	0.0165
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	52758753	52781295	25	0.6445
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	52781326	90247815	23031	0.0168
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	90248307	91882894	77	-0.283
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	91890841	98118212	971	-0.0092
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	98140747	98161710	8	-1.0325
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	98162189	146862085	29516	0.0128
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	146864404	146866934	24	-1.2663
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	146877806	160698680	8269	0.0217
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	160699844	160700440	2	-1.6576
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	160701042	161412587	455	0.0143
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	161413658	161416709	2	-1.5373
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	161416792	164636852	1857	0.0196
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	164643488	164645126	5	-1.0817
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	2	164646642	243089456	48542	0.0156
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	3	60345	224602	157	0.0361
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	3	230022	232800	4	-3.4183
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	3	234877	68724692	47680	0.0177
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	3	68725751	68747329	15	0.5591
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E05_808650	3	68747364	89406945	12669	0.0154
