Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	61735	404171	30	-0.5783
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	534551	13375764	6523	-0.0019
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	13375968	13376042	3	-2.045
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	13376489	17182437	2244	-0.0066
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	17190004	17262247	63	-0.5621
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	17276241	17529311	183	0.0034
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	17531582	17534310	2	-1.6411
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	17534586	25583341	5067	-0.0067
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	25593128	25662212	31	0.4398
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	25663310	30731522	2386	-0.0188
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	30731577	30738534	9	-1.4819
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	30739299	30739796	2	-7.7361
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	30741496	30745210	4	-2.5321
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	30747576	69886702	24542	0.0027
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	69886892	69889880	2	-2.2706
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	69890766	72763370	1822	0.0155
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	72768418	72811148	48	-0.9417
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	72811904	89475255	10951	0.018
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	89477958	89478205	2	-2.3603
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	89481524	104239986	9104	0.0081
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	104256880	104303403	12	0.7139
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	104303501	110227396	3600	0.0129
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	110227500	110242953	20	-1.1249
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	110244998	111377368	838	0.0203
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	111377565	111392067	39	-0.5099
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D03_735066	1	111393297	148953996	7465	0.0158
