Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	61735	16149915	8404	-8e-04
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	16153497	16153925	6	-1.8088
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	16154201	16814994	293	0.0042
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	16815530	17262232	177	-0.3375
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	17262247	22298285	3341	-0.0065
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	22300465	22301198	2	-1.8716
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	22301476	35091674	6923	-0.0041
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	35102654	35104491	20	-0.6788
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	35114268	72768916	23866	0.0097
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	72768936	72811148	45	-1.0114
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	72811904	83829675	7106	0.0099
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	83829841	83829980	2	-1.8333
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	83833922	104163499	12972	0.0063
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	104163787	104303403	27	-0.5899
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	104303501	110224427	3591	0.0171
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	110225642	110246281	37	-0.7342
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	110250235	111374093	828	0.0024
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	111375566	111395110	50	0.2579
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	111395388	144546946	6328	0.0034
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	144549929	144884279	25	-0.518
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	144884319	147420754	996	-4e-04
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	147478446	147554183	2	-1.6515
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	147554301	148575315	76	-0.0843
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	148575555	149024808	43	-0.3604
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	149036524	149242663	111	-0.8018
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	149242725	149436842	53	-0.3434
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	149521840	152555176	1495	0.0081
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	152555527	152586594	36	0.4493
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	152590494	157270511	2564	-0.002
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	157272514	157274237	6	-0.8536
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	157274427	196714873	27185	0.0107
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	196727850	196799714	81	-0.3993
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	196801156	199111363	1393	0.016
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	199111426	199112524	6	-0.8949
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	199113011	205076793	4134	8e-04
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	205079456	205121247	27	0.5398
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	1	205122236	249224388	30396	0.0043
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	2	12784	4205687	2990	-0.0055
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	2	4213864	4222008	29	-0.6821
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	2	4222159	4222703	6	-1.4604
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	2	4223167	34691069	21083	0.0058
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	2	34699315	34737057	46	0.4454
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	2	34737163	35975973	878	0.0362
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	2	35977790	35987916	6	-1.0542
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	2	35987947	52754865	12165	0.0104
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	2	52754881	52781542	34	0.8299
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106	2	52787949	57660998	3540	0.0091
