Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	61735	98588	16	0.0834
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	98602	3256202	774	-0.3236
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	3259677	3261682	2	-1.984
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	3267349	16138059	7614	-0.2871
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	16138095	16155010	23	0.1022
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	16165661	17235684	421	-0.2849
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	17235698	17284920	50	-0.5784
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	17286210	25583291	5266	-0.2788
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	25583341	25646689	26	0.2602
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	25646744	30734036	2401	-0.2746
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	30737373	30739796	8	-1.7286
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	30741496	72756113	26438	-0.2678
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	72756142	72811148	56	-0.574
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	72811904	104157317	20090	-0.2591
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	104157336	104257579	26	0.1592
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	104259444	106013376	925	-0.2394
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	106019205	106022375	17	0.6386
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	106024055	110221727	2656	-0.2539
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	110224384	110233053	18	0.1063
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	110233118	110242953	15	0.7015
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	110244998	112690326	1956	-0.2807
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	112695965	112696997	17	-1.1615
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	112697012	144947693	5319	-0.2694
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	144947719	145434931	170	-0.0461
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	145435943	145792064	148	-0.2679
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	145932468	147831183	693	0.2775
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	147844790	149429206	221	-0.1506
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	149436842	151909453	1095	0.2328
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	151909539	152059580	89	-0.2348
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	152062767	152555706	316	0.2413
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	152555767	152586238	30	-1.743
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	152586278	152586594	4	-0.1662
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	152590494	152751237	163	0.27
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	152754630	152759678	8	-0.0638
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	152761923	152768700	37	-1.4612
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	152773905	158866573	3625	0.2475
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	158868501	158869759	2	-1.4339
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	158874818	196711067	25946	0.2668
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	196711187	196758120	40	-0.2532
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	196758149	196789698	20	0.1056
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	196789767	196801805	32	-0.2352
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	196801850	197913576	594	0.2855
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	197914262	199487043	1078	-0.2728
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	199493626	242099802	29736	0.267
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	242106239	242729502	470	-0.2701
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	242735215	242879935	126	0.2668
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	242885747	243688325	454	-0.2525
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	243691276	248737447	3340	0.2576
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	248749194	248797213	33	-0.422
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	248805339	248860660	31	0.4081
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	248860720	249184667	92	0.1812
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	1	249185083	249224388	21	0.4222
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	12784	4205687	2990	0.0122
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	4213864	4224019	42	-0.7771
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	4230062	13529853	7164	0.0421
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	13534976	13537390	3	1.2887
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	13537736	35975973	14848	0.0378
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	35977790	35986716	4	-1.6092
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	35986908	41238235	3951	0.0342
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	41238443	41245549	22	-0.6611
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	41245887	48851152	5402	0.0266
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	48853972	48855934	2	-1.3473
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	48861904	52758753	2801	0.0526
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	52758768	52781542	32	0.6619
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	52787949	105176835	28393	0.0376
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	105177543	129638478	14764	-0.255
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	129638502	129640315	14	-0.7434
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	129640329	136696038	4046	-0.2569
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	136700328	136855468	80	0.1891
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	136858772	146862085	6357	-0.2394
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	146864404	146866934	24	0.4659
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	146877806	151030802	2265	-0.2298
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	151031451	151037732	5	-1.0989
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	151039208	160636588	5930	-0.2358
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	160637231	160637267	2	-1.5491
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	160637324	161552880	630	-0.2473
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	161553241	161553331	2	-1.5664
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	161557056	180413371	11689	-0.2432
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	180418211	180422137	30	-0.9154
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	180425643	184793800	2760	-0.2359
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	184793851	184802441	18	-0.7666
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	184808589	194687745	5576	-0.2318
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	194690304	194693798	2	1.375
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	194702314	228240198	21045	-0.2395
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	228246529	228254272	6	0.6011
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	2	228258857	243089456	9206	-0.2589
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	60345	6646543	5848	0.049
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	6651128	6653332	23	-0.8117
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	6655078	26611649	14202	0.0384
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	26611667	26611885	4	-2.4114
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	26611898	26613201	8	0.073
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	26614974	26614984	7	-0.6958
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	26614985	68746259	27794	0.0412
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	68746284	68747289	10	-0.9099
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	68747329	75452285	4890	-0.2615
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	75453100	75568549	53	-0.54
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	75572549	75586805	6	-1.6579
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	75595181	82525627	3907	-0.2438
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	82538109	82756177	144	0.0526
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	82758743	83891556	538	-0.2155
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	83893432	86714410	1590	0.0586
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	86714606	86714839	2	-1.1992
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	86715104	88244349	788	0.0535
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	88246551	88491228	127	-0.2552
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	88491242	89888464	887	0.0639
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	89890932	90078623	71	-0.1899
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	90079763	98937784	2957	0.0628
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	98944458	98949308	36	-0.6362
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	98949314	129791348	18783	0.0399
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	129791480	129794970	23	-0.4134
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	129795092	131988638	1449	0.0371
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	131988864	131995684	8	0.5145
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	132000477	137033060	3063	0.0401
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	137033260	137033263	3	1.3635
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	137033422	139199262	1139	0.0349
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	139206257	139213903	4	-0.658
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	139227224	146378529	4750	0.0441
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	146379189	146383136	3	-1.0207
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	146383175	162512739	9891	0.0486
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	162513092	162628614	71	0.332
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	3	162628643	197896118	21931	0.0418
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	12281	10223416	5803	-0.2888
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	10223628	10234266	29	2.0397
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	10234608	34786500	17004	-0.2587
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	34786955	34824725	37	-1.1795
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	34829872	40700573	3889	-0.2642
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	40704011	40704192	3	-2.1068
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	40704687	43145397	1643	-0.2761
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	43145431	43148161	7	-1.1259
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	43148953	64693940	11050	-0.2553
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	64697469	64697530	3	0.7244
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	64697609	64707581	19	0.2172
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	64707605	64716431	8	0.7448
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	64717026	69372003	2882	-0.2436
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	69374941	69528959	70	0.365
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	69536788	69745794	102	-0.2566
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	69749750	69749788	2	-2.3439
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	69752148	83537777	8505	-0.2573
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	83541142	84029069	305	-0.6876
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	84035696	96396788	7578	-0.2524
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	96398364	96398630	2	-1.9289
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	96399606	121774595	15308	-0.2468
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	121783018	121783680	3	-1.6423
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_B05_780804	4	121784013	155802548	20093	-0.2455
