Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	61735	16149915	8420	0.0107
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	16153497	16153925	6	-2.7102
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	16154201	16155010	4	-0.3545
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	16165661	17016872	362	0.0037
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	17016880	17089349	25	0.3935
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	17093257	17112177	11	0.9446
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	17114427	22318183	3419	0.015
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	22319001	22338125	9	-1.2647
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	22342389	25418699	1794	0.0056
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	25423401	25424322	2	-1.5538
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	25424889	35088484	5112	-2e-04
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	35091458	35103510	14	-0.184
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	35103827	35104491	10	-0.8052
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	35114268	37868755	1477	-1e-04
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	37869464	37877626	6	0.5173
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	37879594	38596859	344	-0.0073
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	38601480	38602073	2	-1.2621
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	38606400	85537890	30413	0.0189
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	85539127	85542557	7	-0.9167
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E10_667208	1	85542620	110227515	15401	0.0133
