Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	61735	12839576	6499	-0.0099
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	12841928	12913101	36	0.4425
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	12915847	13763960	60	0.0915
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	13776072	13776828	2	-2.4912
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	13787273	15485139	1351	-0.0115
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	15485314	15490286	15	-0.4911
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	15493910	17005978	771	0.016
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	17011450	17012741	12	0.6194
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	17012785	17082412	26	0.1065
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	17082591	17195155	23	-0.5499
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	17203497	20056631	2037	0.0059
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	20056759	20056903	2	-1.336
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	20056933	21824108	1067	3e-04
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	21824988	21826566	3	1.1469
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	21828392	34711805	6884	-0.0024
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	34715462	34715899	5	-0.8596
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	34722632	36859511	1088	0.0166
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	36859936	36873318	8	-0.6189
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	36874242	40531094	2131	0.003
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	40531842	40531857	2	-1.3005
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	40534253	54576453	7763	-0.0012
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	54576639	54578100	2	-1.1262
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	54580012	55721319	770	8e-04
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	55723441	55724299	7	-0.6729
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	55729368	72750353	12265	0.0026
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	72756113	72763370	9	-0.8298
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	72768418	72817021	52	0.5084
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	72818599	79801403	4370	0.0079
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	79803895	79804337	2	-1.5502
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	79821188	88739923	6087	-8e-04
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	88740566	88740865	4	-0.9184
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	88741916	106019205	10475	0.0032
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	106019236	106022375	16	-1.3354
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	106024055	110225965	2650	0.0023
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	110226004	110242953	28	0.4369
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	110244998	144081043	7170	-0.0019
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	144471986	144472001	2	1.8825
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	144527147	148906617	1129	-0.0089
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	148907270	149254920	145	-0.5085
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	149256691	152555527	1521	-0.0112
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	152555706	152586540	33	1.0278
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	152586576	152756774	169	-0.0119
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	152756806	152778526	44	0.4282
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	152778558	161467042	5229	0.0054
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	161467837	161656369	71	-0.3204
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	161656498	166548373	3922	9e-04
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	166552201	166552723	4	-1.1434
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	166552760	181841443	10346	-2e-04
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	181841995	181848014	6	-0.7687
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	181850149	189084033	4722	-7e-04
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	189084365	189087000	12	-0.7309
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	189089417	248687845	40786	0.0023
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	248688160	248790288	41	-0.5275
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	1	248794464	249224388	150	0.0034
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	12784	13984710	10462	-0.0018
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	13986224	13986304	2	-2.0058
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	13987873	23465144	6771	0.0071
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	23466866	23473557	7	-0.8204
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	23475786	34520473	6686	0.005
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	34523978	34525580	2	-1.3219
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	34525967	34701394	96	-0.0273
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	34701583	34737057	44	-0.3435
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	34737163	35968036	874	0.0121
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	35975973	35987947	8	0.5675
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	35997473	40990662	3749	0.0114
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	40990752	40991438	2	1.1821
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	40991806	52743925	8352	0.0114
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	52754468	52781326	33	0.3585
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	52781374	97857927	23962	0.004
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	97865337	97877173	15	-0.569
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	97886334	98025647	21	0.1042
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	98063372	98161710	11	0.6731
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	98162189	106880095	5564	-0.001
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	106880713	106883229	4	-0.8841
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	106883331	106885357	7	-2.3595
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	106887255	123431656	9499	0.009
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	123431798	123431996	5	0.9014
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	123437061	128218442	3096	0.0132
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	128220429	128221556	3	-1.1665
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	128222080	130211496	1304	0.0034
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	130213364	130215281	2	1.1277
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	130216043	130545565	246	-0.0091
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	130549275	130558377	8	-0.9202
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	130559029	146865243	9718	0.005
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	146865327	146866707	12	0.5469
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	146866798	180413371	20441	0.0078
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	180418211	180421869	26	-0.7815
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	180421888	203293091	13243	0.0069
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	203295775	203313482	42	-0.5333
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	203313497	206270606	1794	0.0043
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	206273542	206273962	3	-1.561
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	2	206277981	243089456	23408	0.0048
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	60345	46791545	33105	0.0016
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	46793377	46847616	39	-0.592
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	46849179	62710600	9953	-0.0013
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	62712682	62715860	8	-0.7871
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	62715908	66666437	3109	-0.003
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	66668343	66668365	2	-3.0618
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	66670029	129775858	36071	0.0021
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	129776676	129806924	50	0.3318
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	129806998	151525016	13569	0.0015
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	151525053	151530121	3	-1.2223
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	151530313	160530630	5385	0.0041
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	160532064	160534225	2	-1.2054
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	160534326	160727208	129	0.0191
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	160738728	160739258	2	-1.9327
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	160742179	162508268	1135	-0.0014
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	162512657	162615915	64	0.5198
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	162623842	162626603	8	-0.6485
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	162628614	162714517	70	0.0392
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	162717727	162719562	2	-2.1973
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	162726159	189360754	16543	0.0039
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	189363678	189370988	12	-0.6474
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	189371014	195455956	4016	-0.002
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	195456048	195464866	9	0.7366
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	195473796	197172736	816	-0.0232
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	197174028	197177870	5	-1.1511
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	197184616	197838578	330	-0.0369
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_D11_1373602	3	197845216	197849705	11	-0.4815
