Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	61735	229173	22	0.5338
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	229619	16149915	8384	0.018
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	16153497	16153925	6	-1.9395
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	16154201	17011669	354	0.0399
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	17011778	17114712	51	0.612
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	17177045	72763370	34210	0.0145
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	72768418	72811148	48	-0.4408
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	72811904	104256915	20100	0.0073
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	104256961	104303403	10	-0.6095
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	104303501	106021219	926	-0.0168
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	106021381	106022375	10	0.636
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	106024055	110224384	2656	0.0166
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	110224427	110251790	47	0.3611
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	110251848	112690326	1942	0.0462
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	112695965	112697390	25	-0.3511
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	112705956	121355881	5180	0.0199
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	121436219	144884249	76	0.266
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	144884279	189648157	27824	0.0231
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	189648483	189648527	2	-1.7675
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	189652047	248683402	40572	0.0166
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	248687802	248688615	8	-0.9631
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	1	248697391	249224388	186	0.0272
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	12784	189800	102	-0.0265
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	189818	237375	38	-0.441
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	237689	34717112	23986	0.0311
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	34717128	34723203	14	-0.5054
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	34723301	41238235	4837	0.0249
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	41238443	41251724	27	-0.5385
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	41251754	49533042	5902	0.032
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	49535768	49538645	4	-1.36
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	49541190	52741737	2281	0.0093
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	52743925	52790140	43	0.3769
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	52790493	53480491	582	0.0495
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	53487317	53488034	3	-1.2465
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	53492247	65716616	7661	0.0243
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	65718012	65718174	3	-1.9608
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	65718815	89596312	14620	0.0254
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	89603924	90274766	167	-0.6738
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	90301264	129638078	20086	0.0342
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	129638478	129640315	15	-0.6613
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	129640329	146862085	10480	0.0326
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	146864404	146866934	24	-1.5098
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	146877806	184084153	22856	0.0336
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	184085453	184089724	10	-0.9693
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	184093998	194908555	6103	0.0088
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	194912454	194989558	66	-0.9578
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	2	194989600	243089456	30098	0.0355
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	60345	11408063	9581	0.0419
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	11412604	11413400	4	-1.1046
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	11417265	26434124	10347	0.0411
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	26434295	26439343	4	-1.258
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	26445973	26601100	114	0.0071
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	26601760	26611898	10	-0.6356
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	26611961	68746164	27793	0.0393
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	68746259	68747413	14	-1.4292
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	68748758	71451645	2060	0.0321
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	71452180	71520642	44	-0.2514
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	71521494	129762859	32621	0.0177
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	129763698	129806236	52	-1.3193
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	129806924	143894650	8766	0.038
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	143900023	144065468	97	-1.0609
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	144070743	162123366	11150	0.0225
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	162137600	162144388	16	-0.811
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	162144405	165289253	1835	-0.0426
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	165289462	165289668	4	-1.1966
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	165296194	165786026	299	-0.0403
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	165787544	165790022	2	-1.3768
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	165790342	189360754	14864	0.0219
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	189363678	189371014	13	-0.8527
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	189372351	192877902	2496	0.034
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	192877962	192882869	17	-0.8412
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A12_734734	3	192882888	197896118	2703	0.0234
