Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	61735	16147181	8409	0.0088
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	16147392	16154201	14	-0.5436
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	16154239	17012314	357	-0.0227
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	17012422	17016880	8	-0.2417
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	17017078	17056457	19	-0.9093
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	17076467	17262247	85	-0.3286
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	17276241	30741496	7698	0.0023
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	30741656	30745210	3	-2.2369
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	30747576	70845655	25134	-0.0014
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	70846071	70850893	3	-1.39
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	70853940	72768916	1281	-0.0218
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	72768936	72811148	45	-1.017
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	72811904	110224384	23676	-0.0142
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	110224427	110246278	37	0.5329
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	110246281	111376081	834	0.0038
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	111376220	111393297	42	-0.7002
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	111393396	144007049	6279	8e-04
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	144008315	152555527	2850	0.2718
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	152555706	152586238	31	-1.7596
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	152586278	152761923	176	0.2844
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	152761939	152768259	31	0.7998
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	152768281	161395555	5239	0.2892
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	161396106	161396142	2	-1.2273
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	161396536	175445290	10081	0.2899
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	175447098	245636410	48034	0.7246
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	245637039	245646904	11	-0.9396
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	1	245649651	249224388	2208	0.7248
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	2	12784	52754561	37180	-0.0068
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	2	52754728	52754881	3	-2.0308
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	2	52758753	86937687	21955	-0.013
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_G12_808640	2	86953070	86953854	2	-2.0828
