Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	61735	12927107	6545	0.182
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	12927856	13384258	20	-0.231
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	13384264	16344827	1914	0.2018
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	16345255	16390402	10	-0.3438
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	16398077	16886193	209	0.216
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	16888067	16895627	2	-0.7585
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	16896821	17012226	48	0.0176
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	17012314	17012741	4	-0.5721
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	17012785	53590630	20398	0.1756
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	53593017	53593813	2	-1.1223
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	53594515	62436943	6595	0.1654
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	62439231	62439364	7	-0.9444
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	62439387	62446047	20	-0.5328
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	62446227	62447302	9	-0.831
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	62450535	72768418	7054	0.1559
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	72768498	72811133	46	-0.8595
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	72811148	81325480	5331	0.1562
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	81326992	81330124	3	-1.1144
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	81330975	89164597	5390	0.1622
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	89165767	89167882	2	-1.2997
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	89169235	106013376	10164	0.1617
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	106019205	106022375	17	-2.256
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	106024055	106163190	116	0.1751
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	106168296	106187933	15	-0.6787
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	106187975	106197893	3	-1.5472
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	106197961	106216780	13	-0.7287
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	106219116	110219008	2486	0.1627
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	110220086	110232974	20	0.7205
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	110233037	110242953	16	2.0653
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	110244998	149242663	8425	0.1626
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	149242725	149246415	15	0.7336
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	149248712	152555706	1527	0.1502
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	152555767	152586594	34	-1.8055
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	152590494	189086935	24464	0.161
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	189086987	189087000	2	-2.4705
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	189089417	189648157	362	0.1382
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	189648483	189648527	2	-1.3068
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	189652047	196714822	4707	0.1669
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	196714873	196812530	96	-0.3966
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	196815791	196845668	34	0.1795
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	196847411	196853350	4	-0.6942
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	196853519	199107702	1326	0.1399
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	199111363	199114238	10	-0.6935
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	199114390	210071062	7396	0.1682
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	210081613	210083984	3	-1.9116
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	210086552	238464197	19522	0.1716
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	238466552	238470305	7	-0.5455
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	238470945	238750109	230	0.1898
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	238751620	238751882	3	-2.6425
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	238751937	238752412	3	-0.7342
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	238752427	240391740	1285	0.1815
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	240394015	240394139	6	-1.7702
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_C06_1301426	1	240396105	249224388	5896	0.184
