Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	61735	228706	18	1.3001
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	228729	229619	5	-0.1247
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	229677	742293	18	0.585
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	745913	3003488	625	0.0114
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	3004357	3010586	3	1.3392
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	3025712	9596481	4173	0.0024
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	9596865	9603781	3	-1.404
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	9604873	10365286	338	-0.0129
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	10366712	10371022	12	0.4952
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	10371072	12852748	1321	-0.0138
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	12857863	13717824	86	0.3
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	13724101	16886135	2114	0.0237
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	16886193	17203497	105	0.3414
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	17209603	17214822	4	-0.9458
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	17217283	17247082	23	0.0181
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	17247673	17248398	5	-0.8614
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	17253375	25583341	5297	0.0101
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	25593128	25663344	33	0.4427
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	25673154	27379471	734	-0.0151
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	27379950	27379952	2	1.5436
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	27380879	72784222	28117	0.0047
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	72788696	72788725	2	1.8719
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	72788844	77409724	3038	5e-04
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	77409787	77412905	2	-1.5472
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	77413616	92579675	9981	0.004
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	92581805	92584519	3	-1.2932
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	92585040	104157161	7067	0.0097
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	104157317	104268222	32	-0.3314
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	104303403	110224427	3591	0.0036
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	110225642	110240178	30	0.7545
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	110242953	144542773	7212	0.0137
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	144545755	144914814	63	0.4165
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	144914863	145151728	97	0.0292
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	145151959	145152757	5	1.165
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	145156301	147831183	923	0.0114
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C06_735138	1	147844790	149713789	245	0.3502
