Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	61735	228729	19	0.2442
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	229075	229619	4	-0.8488
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	229677	2269948	412	0.0376
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	2272064	2280423	3	-2.1589
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	2281726	12892309	6123	0.0113
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	12892508	12927107	8	-0.893
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	12927856	13375401	11	-0.0439
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	13375764	13384383	11	-0.4293
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	13384473	16149915	1829	0.0206
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	16153497	16153925	6	-1.9029
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	16154201	16851514	304	0.0242
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	16869363	16970178	39	0.4302
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	16970311	17016872	23	0.0867
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	17016880	17048405	18	-0.3714
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	17048479	17094066	12	0.0718
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	17100230	17262232	74	0.4472
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	17262247	29854740	7109	0.0188
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	29854881	29859057	4	-1.0531
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	29859134	72768916	27052	0.0205
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	72768936	72811148	45	-1.3248
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	72811904	95564908	14847	0.0159
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	95567932	95568358	4	-1.3475
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	95572369	95817916	180	0.0225
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	95818596	95821668	6	-1.1137
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	95823682	104163499	5056	0.0164
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	104163787	104259444	22	0.4905
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	104260032	108215310	2496	0.006
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	108218257	108218276	2	-0.9835
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	108218687	108766355	408	0.0129
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	108769302	108817179	2	-3.0753
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	108828957	110227515	705	0.0157
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	110232974	110240178	17	1.2622
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	110242953	112690326	1956	0.025
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	112695965	112706198	35	-0.2963
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	112706205	114828901	1316	0.0141
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	114831965	114833710	3	-1.3271
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	114833802	144914814	3968	0.0225
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	144914863	144947719	16	0.4665
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	144948968	149229843	1177	0.0432
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	149242663	149278471	27	0.5942
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	149279840	152759678	1732	0.0255
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	152761923	152768700	37	0.4275
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	152773905	179323738	17976	0.0182
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	179330528	179333315	4	-0.9416
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	179339206	199111363	13061	0.0145
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	199111426	199113840	8	-2.084
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	199114238	212999819	9388	0.0142
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	213004455	213010436	8	-0.9289
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	213014453	245626920	22957	0.015
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	245627601	245646904	13	-0.9526
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	245649651	248600297	1993	0.0154
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	248600796	248649486	17	0.4862
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	248649502	248749194	24	0.0735
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	248749219	248795289	29	-0.801
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	1	248795852	249224388	148	0.0328
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	12784	9948475	7578	0.0109
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	9949576	9950371	3	-1.6363
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	9953949	34691069	16545	0.0156
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	34699315	34738032	48	-0.4918
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	34740639	35975973	875	0.0225
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	35977790	35987916	6	-1.3505
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	35987947	41238235	3947	0.0108
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	41238443	41245887	23	-0.5644
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	41251233	45455940	3044	0.017
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	45456187	45456390	3	-1.0417
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	45461908	52582349	5015	0.0205
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	52583891	52583984	2	-1.1034
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	52584090	52754561	136	0.0327
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	52754728	52754881	3	1.3724
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	52758753	106881633	29722	0.0193
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	106883229	106885357	8	-0.6122
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524	2	106887255	123479951	9559	0.0071
