Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	61735	2789906	566	-0.1387
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	2792801	2793232	2	-2.5177
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	2809490	3316781	252	-0.2392
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	3318714	3333595	9	-0.7579
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	3336621	16674593	7820	-0.0078
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	16679164	16679680	2	-1.7429
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	16682747	17016880	136	-0.0044
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	17017078	17114712	38	-0.3744
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	17177045	46510353	16693	-0.0028
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	46512275	46513826	2	1.9757
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	46519553	62114006	10141	-0.0025
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	62114181	62119809	4	-1.2428
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	62120564	72768916	7381	0.0043
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	72768936	72811148	45	-0.9351
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	72811904	106019370	21043	0.0059
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	106019483	106022375	13	0.9566
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	106024055	106124719	83	4e-04
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	106124761	106127179	2	-1.5683
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	106127531	110175980	2553	0.008
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	110178212	110246130	53	-0.3297
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	110246273	112690326	1953	0.0081
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	112695965	112697213	22	-1.8617
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	112697241	152555767	8050	0.0128
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	152555795	152586238	29	-1.7002
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	152586278	161479438	5483	-7e-04
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	161496900	161618549	31	0.4163
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	161618691	167764835	4923	8e-04
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	167766183	167766919	4	-1.1819
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	167768513	169216937	1112	-0.0053
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_D10_1388110	1	169233974	169241766	7	-2.2789
