Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	61735	16869363	8733	0.0052
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	16871278	17005734	43	0.4156
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	17005776	25605058	5407	0.0023
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	25611120	25611452	2	-1.5463
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	25616296	35091674	4986	0.0133
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	35102654	35114268	21	-0.8358
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	35115542	55270551	11183	0.0072
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	55274519	55274652	2	1.4576
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	55274810	72763370	12688	0.0011
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	72768418	72797412	30	-1.4434
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	72798594	72811148	18	-0.6488
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	72811904	104103230	20071	0.0173
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	104109238	104303639	57	0.4265
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	104307243	106013376	917	0.0205
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	106019205	106022375	17	-0.6934
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	106024055	108729759	1944	0.0155
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	108734235	108734877	2	-1.4488
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	108737496	110224384	712	0.0593
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	110224427	110226743	9	0.4642
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	110226970	110242953	23	1.1929
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	110244998	111834065	1229	0.0665
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	111834068	111834120	4	-0.6572
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	111834338	112690326	724	0.0527
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	112695965	112706128	31	-0.4287
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	112706140	144842558	5238	0.0134
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	144849539	144849552	3	1.7458
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	144865627	148789848	1114	0.0897
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	148789864	149246030	139	-0.6534
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	149246275	149436842	44	-0.2153
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	149521840	152553026	1496	0.0779
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	152555176	152555527	2	-0.5262
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	152555706	152586594	35	-1.6263
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	152590494	152761923	171	-0.0224
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	152761939	152778558	41	-0.451
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	152778576	153325685	443	0.014
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	153328335	153328884	2	-1.5339
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	153332686	158744665	3080	0.0498
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	158745653	158745880	2	-1.4276
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	158746150	158866573	93	0.0521
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	158868501	158874818	3	-0.8048
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	158875051	167616838	6496	0.0245
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	167617699	167617749	2	-0.9796
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	167619333	167764835	107	0.0641
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	167766183	167766919	4	-1.2499
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	167768513	174796405	4647	0.0289
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	174796556	174801840	16	-0.7193
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	174801854	189648157	9925	0.0145
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	189648483	189648527	2	1.257
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	189652047	191313733	1136	0.0379
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	191316911	191317107	2	-1.4572
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	191320648	191713386	216	0.0387
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	191713771	191726158	12	-0.3335
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	191727949	193155792	974	0.0452
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	193156279	193156348	4	1.3099
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G03_628460	1	193159723	196738782	2410	0.0334
