Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	61735	235938	27	0.0478
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	356443	356542	2	1.371
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	404171	16153497	8393	0.0212
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	16153536	16154966	8	0.7044
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	16155010	17195155	408	0.0123
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	17203497	17262247	60	-0.448
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	17276241	25582629	5262	0.0267
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	25582679	25663310	36	0.5602
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	25663344	72768916	28860	0.0186
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	72768936	72811148	45	-1.3593
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	72811904	104159384	20091	0.0172
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	104163499	104303403	28	-1.0736
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	104303501	110232974	3608	0.0127
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	110233037	110240178	16	-0.5228
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	110242953	144549929	7218	0.0135
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	144555185	144868360	11	0.7562
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	144869084	152555527	2796	0.041
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	152555706	152586594	35	0.4871
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	152590494	169216937	11548	0.0143
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	169233974	169241766	7	-2.4266
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	169242401	189648157	13456	0.0135
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	189648483	189648527	2	-2.8107
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	189652047	193155792	2338	0.0071
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	193156279	193156332	3	-1.2964
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	193156348	194448234	948	0.0191
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	194451411	194455018	2	1.5687
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	194457016	246502246	35964	0.0166
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	246506736	246507983	5	-0.94
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	246510598	247635213	696	0.0202
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	247635879	247636015	2	-1.2025
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	247636350	248600297	623	0.0358
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	248600796	248641192	16	0.5659
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	248649486	248737447	24	-0.0619
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	248749194	248795289	30	-2.717
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	1	248795852	249224388	147	-0.0315
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	12784	3728561	2572	0.0082
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	3732546	3733273	4	-0.9535
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	3736538	34685280	21543	0.0152
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	34691069	34737057	47	0.6083
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	34737163	44122857	6920	0.0121
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	44129940	44132224	4	-0.9219
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	44133679	52741737	6121	0.0135
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	52743925	52781542	41	0.6904
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	52787949	77222301	15864	0.0125
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	77222421	77225930	2	-2.0522
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	77225981	87344738	6172	0.0167
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	87361172	87996372	186	0.358
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	88024667	89473832	631	0.0281
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	89477381	89903423	39	-0.6314
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	89916032	90042904	29	0.0763
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	90044863	90225278	93	-0.626
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	90227870	90248524	28	-1.1893
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	90248784	90267121	7	-0.5743
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	90269005	115539360	11221	0.0159
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	115539379	115542070	14	-0.4613
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	115542270	126441368	6911	0.0118
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	126441733	126441752	2	-1.4585
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	126442000	129638078	1954	0.0155
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	129638478	129640297	13	-0.7724
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	129640315	135478046	3467	0.0294
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	135483381	135486894	5	-1.3236
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	135490684	170626325	21364	0.013
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	170631928	170644549	9	-1.2778
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	170647502	208354955	22670	0.0109
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	208355178	208359336	16	-0.9469
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	2	208359476	243089456	22147	0.016
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	60345	65188453	45406	0.0165
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	65189235	65210452	53	-0.6789
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	65216349	68746164	2423	0.0057
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	68746259	68747413	14	-1.2967
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	68748758	75549946	4936	0.0132
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	75560526	75586805	10	0.874
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	75595181	98937784	11016	0.0209
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	98944458	98949301	35	-0.539
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	98949308	122031819	14094	0.0157
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	122032128	122032436	2	-1.386
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	122032789	129785940	4668	0.0154
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	129786209	129806236	46	-1.1994
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	129806924	131989330	1443	0.0187
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	131989347	131993236	4	0.7099
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	131995684	136019099	2590	0.0134
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	136022951	136025426	2	-2.2812
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	136038541	162208419	16047	0.0141
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	162216629	162226959	34	-0.8352
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	162236534	162592358	218	-4e-04
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	162593624	162628679	28	-0.3624
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	162628799	192878045	19198	0.0148
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	192878195	192882903	17	-1.2349
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	192886435	195275395	1481	0.0163
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	195276072	195446922	32	-0.7172
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	195455508	195661550	99	-0.0257
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	195690846	195709662	6	-1.4697
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	3	195718765	197896118	1088	0.0165
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	12281	9451347	5250	0.0234
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	9451923	9479206	10	0.7586
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	9479345	10210390	547	0.0053
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	10223416	10235268	35	-0.9345
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	10236142	34786500	17001	0.0118
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	34786955	34824725	37	0.4994
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	34829872	44965196	6607	0.0217
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	44967004	45006192	44	0.9774
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	45006312	57747634	5689	0.0074
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	57748143	57748298	3	-1.5077
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	57748653	69244434	7134	0.0242
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	69255070	69256759	3	-1.3297
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	69256760	69333814	17	0.4569
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	69334141	70138047	413	-0.04
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	70143374	70231799	42	-0.7893
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	70232022	86975223	10458	0.0143
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	86976094	86979764	19	-0.8811
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	86979944	115175323	16906	0.0148
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	115175344	115182175	22	0.6688
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	115184229	116165720	609	0.0042
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	116165793	116176125	26	-0.6638
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	116180182	130062751	8109	0.014
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	130067546	130068160	2	-3.3115
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	130072563	152181467	13095	0.0079
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H11_697976	4	152186362	152189532	5	-1.2873
