Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	61735	16844932	8709	0.0169
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	16846035	16968211	36	0.5811
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	16968374	22296307	3469	0.0151
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	22297426	22318183	9	0.6431
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	22319001	25582629	1913	0.0204
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	25582679	25678084	39	0.5442
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	25678362	27379471	731	-0.006
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	27379950	27379952	2	1.614
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	27380879	30741496	1667	0.0114
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	30741656	30745210	3	-2.2394
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	30747576	35091674	2556	0.0142
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	35102654	35114268	21	-0.4106
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	35115542	37851713	1459	0.0143
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	37852970	37853752	3	0.8655
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	37854613	37871985	13	-0.1869
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	37876972	37920683	28	0.3363
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	37921043	72746533	22308	0.0024
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	72746547	72805497	51	0.3419
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	72805808	92072225	12626	-0.0055
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	92072811	92210610	119	0.5391
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	92210961	102706476	6571	0.0042
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	102707876	102744012	23	-0.3755
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	102744309	104163787	698	0.0104
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	104178038	104268222	25	-0.8655
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	104303403	110224384	3575	-0.0052
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	110224427	110227317	11	1.023
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	110227396	110256624	41	0.4679
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	110260742	112688311	1926	-0.0025
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	112690211	112697174	22	0.386
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	112697188	120102884	4717	-0.0061
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	120108137	120150949	58	0.3233
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	120151588	144549929	453	0.0559
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	144555185	144868360	11	1.028
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	144869084	149041722	1133	0.0652
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	149041806	149202593	73	-0.4368
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	149202745	196731610	31262	4e-04
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	196732086	196905159	155	-0.709
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	196909645	243044970	31945	0.0039
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	243044991	243293127	107	0.2661
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	1	243294982	249224388	3741	0.0083
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	12784	7611948	5892	0.0151
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	7612038	7649025	32	-0.3851
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	7650726	14040663	4575	-0.003
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	14041017	14182205	94	0.5479
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	14185902	16731968	1877	-0.0126
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	16733928	16734284	2	-1.9855
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	16734999	18961612	1722	-0.0013
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	18961790	18961798	2	-1.7101
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	18961960	24595328	3703	0.0029
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	24596812	24615623	31	0.3433
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	24615643	32643437	4633	9e-04
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	32643528	33331778	435	0.5227
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	33333871	34691069	1069	0.0184
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	34699315	34740799	52	-0.3051
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	34741027	52743925	13004	-0.0086
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	52754468	52808702	59	0.3861
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	52811714	90242500	22948	-0.0024
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	90244232	95346981	156	0.2793
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	95348025	130781750	20790	9e-04
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	130783696	131029463	61	0.3441
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	131036000	132743242	600	0.0436
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	132746264	133079372	85	0.3433
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	133080864	175986973	26545	-0.0012
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	175987679	175994720	5	-2.0493
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	2	175995770	243089456	41275	-8e-04
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	3	60345	6651211	5828	-0.0245
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	3	6651237	6653332	21	-0.7218
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	3	6655078	75397213	46775	2e-04
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	3	75406398	75912351	154	0.4237
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446	3	75913242	84702136	4917	-0.0083
