Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	61735	98602	17	-0.8225
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	228706	16903726	8720	0.025
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	16909609	17005776	37	-0.5061
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	17005978	17190004	60	0.0998
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	17190862	17257943	45	0.3838
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	17258139	72763370	34169	0.0201
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	72768418	72771143	5	-0.4204
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	72771367	72811148	43	-0.9036
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	72811904	104158309	20087	0.0172
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	104159347	104303501	31	-0.6179
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	104303639	110232974	3607	0.0137
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	110233037	110234628	10	1.7015
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	110235032	110244998	8	0.6708
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	110246126	112688311	1952	0.016
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	112690211	112696537	11	-0.679
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	112696553	152555527	8062	0.013
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982	1	152555706	152586238	31	-1.5575
