Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	61735	761368	48	-0.2111
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	761732	765269	3	-1.9151
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	768793	16137774	8338	-0.3179
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	16138059	16154239	21	0.217
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	16154966	16851514	302	-0.3386
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	16869363	17017078	64	0.0044
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	17017530	17048479	17	0.551
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	17056457	17087292	5	-0.765
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	17089349	17114712	15	-2.4469
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	17177045	21882820	3161	-0.3347
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	21891255	21937317	30	0.1804
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	21938715	35091674	7140	-0.1436
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	35102654	35104491	20	-1.1186
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	35114268	40242445	2776	-0.1254
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	40246984	40251354	2	1.1957
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	40251816	41276073	541	-0.1365
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	41276498	56110290	8568	0.4009
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	56112774	56120286	13	1.1118
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	56120773	72763370	11957	0.5429
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	72768418	72811148	48	2.3698
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	72811904	77570580	3093	0.3336
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	77571820	87387119	6408	-0.2566
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	87390941	88363167	737	0.0701
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	88363289	106163190	10925	-0.3261
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	106168296	106215029	30	-1.3739
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	106216780	111199205	3225	-0.2206
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	111202159	111208867	7	-1.0527
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	111213928	120102884	6012	0.0505
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	120108137	120112055	8	-1.0425
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	120114744	144564584	506	0.0353
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	144579091	144849552	6	2.0568
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	144865627	144965770	73	0.0869
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	144970224	145115485	58	-0.2122
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	145117984	146479610	261	0.1154
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	146488144	147420754	620	0.4117
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	147478446	148893345	107	-0.0682
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	148906617	149229086	122	-0.5872
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	149229808	152555527	1552	0.3436
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	152555706	152586540	33	1.5135
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	152586576	152759678	173	0.3692
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	152761923	152768359	35	0.7767
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	152768570	158804673	3586	0.3824
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	158806207	158842453	19	-0.0804
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	158842529	161478993	1665	0.382
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	161479438	161618691	33	0.0376
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	161618820	161619012	6	1.2984
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	161619058	169088679	5919	0.4273
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	169089614	169107230	17	-0.104
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	169110840	175750389	4355	0.4259
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	175750840	175751262	3	-1.1289
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	175752168	185914774	6804	0.4322
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	185915316	193155792	4739	0.0358
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	193156279	193156348	4	1.092
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	193159723	194448234	946	0.0444
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	194451411	194455018	2	-2.4478
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	194457016	195145942	438	0.0195
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	195147757	196731035	1017	0.5009
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	196731610	196732086	2	-1.9846
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	196738623	199662710	1869	0.5275
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_A11_1438326	1	199680323	210608967	7397	0.0497
