Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	61735	768793	52	-0.0684
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	777122	791010	7	-0.9577
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	792480	12873385	6488	0.0158
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	12877057	12927107	12	0.5616
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	12927856	17190862	2267	0.0074
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	17195155	17276241	62	-0.4861
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	17277940	25178331	4973	0.0155
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	25180379	25181245	3	-1.0706
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	25184151	25583341	291	0.0354
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	25593128	25662212	31	0.7249
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	25663310	35091674	4966	0.0113
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	35102654	35104491	20	-0.585
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	35114268	60865995	15553	3e-04
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	60867839	60867941	2	-1.6416
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	60868537	76050844	10275	0.0043
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	76054763	76054854	2	-2.8782
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	76059509	106019310	19103	-0.004
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	106019370	106022375	14	0.7703
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	106024055	110224384	2655	-0.0043
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	110224427	110227515	14	0.5279
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	110232974	110240178	17	1.3476
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	110242953	111401692	898	0.0062
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	111401704	111403495	3	-1.3757
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	111403557	112696087	1056	-0.0031
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	112696193	112706128	29	-0.4863
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	112706140	144842558	5236	0.0048
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	144849539	144868360	5	1.3015
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	144869084	196711187	32570	0.0028
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	196714822	196801850	92	-0.6716
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	196801987	199111363	1385	0.0106
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	199111426	199113011	7	-1.2979
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	199113840	223020504	16392	0.0017
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	223022923	223023769	3	-2.6071
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	223026717	225460068	1504	0.0067
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	225462887	225466649	4	-0.8479
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	225471228	225670344	134	-0.008
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	225673293	225673784	3	-1.5442
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	225674255	243854196	13127	0.0021
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	243860924	243861061	5	-1.0102
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	243863108	248808864	3243	1e-04
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	248809109	248809369	2	1.6497
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	1	248818483	249224388	140	0.0136
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	12784	14703694	11044	0.0078
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	14704949	14710092	12	-0.9209
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	14710364	24039329	6617	-0.0014
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	24044352	24049453	3	-1.1344
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	24049534	34691069	6424	4e-04
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	34699315	34737163	47	-0.5358
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	34737556	35968036	876	-0.0206
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	35975973	35987947	8	0.7455
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	35997473	52754865	12168	-0.0059
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	52754881	52781542	34	-0.795
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	52787949	54616599	1378	-0.0114
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	54620282	54620599	2	-1.462
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	54624436	64452475	6048	-0.0042
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	64453036	64453110	2	-1.4355
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	64453244	69567984	3696	0.0033
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	69571124	69576147	2	-1.6719
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	69577288	74146977	2562	0.0021
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	74147627	74147818	2	-1.6783
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	74150256	90248524	9334	0.0051
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	90248784	91849290	69	0.3009
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	91858949	97830623	926	-3e-04
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	97834082	98018864	41	0.2976
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	98019683	98154265	14	-0.2713
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	98157272	98161710	3	-1.7727
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	98162189	129638078	19037	0.0053
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	129638478	129640315	15	-0.8915
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	129640329	130793856	875	0.0043
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	130793883	130874488	16	0.4077
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	130874876	168163730	22224	0.001
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	168172932	168180484	8	-1.1108
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	168180894	180061655	7665	-0.0033
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	180067192	180079144	3	-2.3921
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	180083591	184085453	2568	-0.0097
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	184085788	184089724	9	-1.1706
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	184093998	203293012	10949	-0.0055
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	203293091	203312201	42	-0.8498
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	2	203313482	243089456	25286	0.0019
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E06_1151634	3	60345	12744591	10586	0.0033
