Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	61735	16943613	8709	0.2041
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	16943638	17048405	61	0.5657
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	17048479	25583291	5331	0.2027
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	25583341	25618931	17	-0.2587
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	25619040	29175052	1477	0.1889
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	29176213	29486882	123	-0.1571
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	29487070	41021036	6550	0.1942
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	41022076	41028210	4	-0.8303
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	41028926	72768498	20567	0.2109
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	72768916	72811148	46	-0.8585
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	72811904	106019205	20950	0.2227
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	106019236	106022375	16	-1.5271
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	106024055	109494147	2303	0.2214
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	109496854	109498145	15	-2.2147
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	109503656	110227500	341	0.2121
COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_F06_1373718	1	110227515	110246281	25	-0.43
