Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	61735	229677	24	0.4639
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	235670	356443	4	-0.547
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	356542	1936892	324	-0.0485
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	1943615	1997605	14	0.5452
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	2014680	7947273	3571	-0.0825
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	7947946	7951746	2	-1.4643
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	7952163	10246654	1186	-0.0822
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	10249962	10249977	3	-1.7776
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	10255256	17048479	3682	-0.073
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	17056457	17177965	22	-0.6998
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	17182437	18786779	1207	-0.068
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	18787446	18787450	2	-1.4874
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	18791011	22036256	2059	-0.0653
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	22038987	35259961	7178	-0.585
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	35261232	35391577	72	-0.0367
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	35394279	36009394	262	-0.5861
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	36010560	36116743	52	0.4235
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	36119364	36242894	47	0.877
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	36253653	36293651	11	0.3553
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	36296111	36317041	12	0.9672
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	36317455	36497687	78	0.492
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	36499342	36538707	14	0.8855
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	36541535	36588402	20	0.3853
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	36594173	36628151	18	0.9765
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	36628491	38339141	1035	0.4188
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	38342886	38609325	120	0.0806
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	38609840	40135017	875	0.3915
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	40139508	41403765	707	0.6658
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	41405664	42325807	600	1.0859
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	42326841	43387302	616	0.6893
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	43393689	43837178	290	0.0526
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	43839810	43924049	58	0.4426
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	43924118	44096497	119	-0.3725
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	44100084	44170316	39	0.4084
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	44178666	49050925	2735	-0.3976
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	49051748	49052423	2	-2.1779
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	49052933	49385466	282	-0.3381
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	49386605	50368888	412	0.4688
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	50373692	50400042	11	0.9174
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	50408667	50488504	28	0.3743
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	50491198	51794502	612	-0.5599
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	51797409	55724100	2301	-0.0674
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	55724188	55724299	4	-1.1518
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	55729368	57367054	1320	-0.0422
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	57367700	57368222	2	-1.6108
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	57371133	62477075	3934	-0.053
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	62477234	64173484	1140	-0.5899
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	64174143	64174445	4	-1.6266
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	64176745	69249692	3790	-0.5719
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	69250050	69266103	14	0.0451
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	69267189	72763370	2139	-0.5379
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	72768418	72811148	48	0.5773
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	72811904	102768980	19406	-0.5641
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	102772804	102775473	2	0.8976
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	102778623	104066877	645	-0.5544
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	104067000	104221531	39	-0.2212
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	104221631	104261206	22	-1.1506
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	104268222	106012754	920	-0.5481
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	106013376	106022375	18	-1.6531
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	106024055	112696193	4646	-0.5638
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	112696273	112697198	18	-0.0396
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	112697213	121436219	5181	-0.5705
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	121447136	145372563	278	0.1388
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	145382124	149339585	1065	0.4123
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	149340200	149713871	42	0.0445
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	149715562	152555527	1473	0.3731
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	152555706	152586540	33	1.2974
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	152586576	152762046	178	0.3939
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	152762257	152768700	32	0.835
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	152773905	155180360	1341	0.3776
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	155180466	155201064	12	1.1002
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	155211667	166548373	7933	0.3965
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	166552201	166553095	6	-0.6333
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	166553495	193932937	18480	0.5303
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	193936612	193937799	2	-0.762
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	193937947	196714873	1789	0.6627
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	196727850	196732086	4	-0.6286
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	196738623	196757853	30	1.1892
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	196757902	196791043	36	0.6265
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	196798565	196801655	17	1.2005
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	196801784	199111363	1390	0.6333
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	199111426	199113011	7	-0.3856
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	199113840	227738512	19333	0.6083
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	227743875	227744660	3	-0.3104
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	227749587	229811169	1179	0.5992
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	229816856	229820196	3	-3.3404
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	1	229820456	249224388	14070	0.6038
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	12784	27761000	19493	0.3129
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	27765308	27779518	9	-0.5721
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	27784428	40007796	8486	0.3112
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	40013395	40051216	26	0.6512
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	40052551	41238235	993	0.346
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	41238443	41243455	21	-0.5159
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	41245549	53843747	9120	0.3221
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	53845054	53846547	4	-0.7552
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	53847282	87996372	21337	0.3088
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	88024667	88046621	2	-0.9495
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	88052330	90001943	680	0.2631
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	90011138	90269005	148	-0.4544
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	90274766	92305784	134	0.1503
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	95327887	97732783	819	-0.0817
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	97734957	98162189	96	0.4948
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	98166878	106881633	5580	-0.1923
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E07_1513330	2	106883229	106885013	7	-1.0043
