Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	61735	1647494	229	-0.5628
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	1647890	1663396	7	1.0051
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	1663831	17087292	8546	-0.6617
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	17089349	17276241	82	-0.0895
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	17277940	25583291	5254	-0.6549
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	25583341	25662212	32	0.161
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	25663310	106013376	49867	-0.6315
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	106019205	106022375	17	-1.5075
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	106024055	107654220	1083	-0.6193
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	107655602	107660938	8	-4.976
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	107661606	110227515	1577	-0.6509
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	110232974	110242953	18	-2.0621
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	110244998	111377368	840	-0.6359
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	111377565	111388226	38	-2.1035
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	111392067	112690326	1076	-0.6273
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	112695965	112697174	19	-1.9427
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	112697188	115830108	1961	-0.6289
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	115834802	115836020	4	-2.5777
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	115836281	121355881	3219	-0.6342
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	121436219	145235261	259	-0.228
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	145243516	148937905	932	0.1056
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	148947710	149722462	195	-0.533
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	149732591	152555527	1472	0.0815
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	152555706	152586594	35	1.2878
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	152590494	152762008	175	0.0653
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	152762046	152768700	33	0.631
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	152773905	161502894	5279	0.0986
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	161508791	161650621	55	-0.4048
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	1	161652302	249224388	60302	0.106
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	12784	4205687	2989	0.0934
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	4213864	4224019	42	-0.4275
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	4230062	14334195	7692	0.124
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	14335136	14369188	66	0.5679
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	14372695	14654116	181	0.1297
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	14654817	14658566	3	-0.6775
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	14658959	14703694	75	0.1327
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	14704949	14710092	12	-0.9311
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	14710364	34691069	13060	0.1228
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	34699315	34701735	6	0.8152
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	34708632	34717112	16	0.3688
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	34717128	34737057	24	0.9291
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	34737163	35975973	878	0.0901
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	35977790	35987916	6	-1.7409
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	35987947	46724721	8101	0.1175
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	46724887	46725516	4	-0.8109
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	46729409	51207554	2998	0.1168
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	51209835	51248796	25	-0.5987
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	51249767	52413486	798	0.1037
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	52420457	52703590	195	-0.616
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	52703828	52758753	55	0.1747
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	52758768	52781295	24	0.7701
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	52781326	65716616	8260	0.2156
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	65718012	65718174	3	-0.9992
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	65718815	89999062	14651	0.2468
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	90001943	95327887	284	-0.446
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	95329927	114362015	10349	0.2203
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	114362414	114362416	2	-2.2854
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	114380821	115539395	734	0.2277
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	115539579	115542598	16	-0.202
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	115542614	116661460	675	0.2297
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	116663402	132764760	9730	-0.628
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	132773187	133117260	88	-0.2949
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	133121946	146862085	8838	-0.6153
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	146864404	146877806	25	-1.9023
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	146878395	156872170	6022	-0.59
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	156872446	157252095	195	0.2085
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	157260338	157749073	274	-0.5848
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	157752834	157877168	63	0.1018
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	157881269	168589079	6318	-0.5908
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	168591057	168591073	2	-3.5788
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	168592926	173677978	3303	-0.5894
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	173681432	174368076	551	0.1303
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	174368740	176199565	1102	-0.6142
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	176199989	176210672	7	-2.2395
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	176212390	185316880	5869	-0.5931
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	185318046	185320059	3	1.0379
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	185325519	185459965	109	-0.68
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	185460180	185460295	2	-2.3772
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	185460397	191861377	3462	-0.5927
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	191861557	196110025	2396	0.1163
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	196112722	196206373	53	-0.6
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	196210308	196256017	26	0.1707
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	196259260	196280236	21	-0.546
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	196289817	196673533	205	0.1323
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	196676489	196676794	2	-2.8105
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	196680049	196879869	109	0.1375
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	196880467	196905455	21	0.5787
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	196907223	198518818	933	0.1406
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	198520996	202221921	2196	-0.6058
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	202240472	202416848	75	0.1674
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	202417023	208354955	3659	-0.5941
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	208355178	208359149	15	-2.682
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	2	208359336	243089456	22109	-0.6195
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074	3	60345	1096039	869	0.0451
